ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,tick,timestamp,news_news_id,news_period,news_tick,news_ticker,news_headline,news_body
NG,2.2,0.0,0.0,800000.0,800000.0,0,2026-02-04 12:04:06.018529,3.0,1.0,1.0,,You are logged in as a PRODUCER,
ELEC-day2,0.0,0.0,0.0,,,0,2026-02-04 12:04:06.018529,2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract."
ELEC-day3,0.0,0.0,0.0,,,0,2026-02-04 12:04:06.018529,1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,
ELEC-day4,0.0,0.0,0.0,,,0,2026-02-04 12:04:06.018529,,,,,,
ELEC-day5,0.0,0.0,0.0,,,0,2026-02-04 12:04:06.018529,,,,,,
ELEC-day6,0.0,0.0,0.0,,,0,2026-02-04 12:04:06.018529,,,,,,
ELEC-F,0.0,0.0,0.0,,,0,2026-02-04 12:04:06.018529,,,,,,
NG,2.2,2.18,2.22,800000.0,800000.0,1,2026-02-04 12:04:06.857732
ELEC-day2,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.857732
ELEC-day3,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.857732
ELEC-day4,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.857732
ELEC-day5,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.857732
ELEC-day6,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.857732
ELEC-F,0.0,0.0,0.0,,,1,2026-02-04 12:04:06.857732
NG,2.19,2.17,2.21,800000.0,800000.0,2,2026-02-04 12:04:07.501473,4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.
ELEC-day2,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501473,,,,,,
ELEC-day3,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501473,,,,,,
ELEC-day4,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501473,,,,,,
ELEC-day5,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501473,,,,,,
ELEC-day6,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501473,,,,,,
ELEC-F,0.0,0.0,0.0,,,2,2026-02-04 12:04:07.501473,,,,,,
NG,2.2,2.18,2.22,800000.0,800000.0,3,2026-02-04 12:04:09.015823
ELEC-day2,0.0,0.0,0.0,,,3,2026-02-04 12:04:09.015823
ELEC-day3,0.0,0.0,0.0,,,3,2026-02-04 12:04:09.015823
ELEC-day4,0.0,0.0,0.0,,,3,2026-02-04 12:04:09.015823
ELEC-day5,0.0,0.0,0.0,,,3,2026-02-04 12:04:09.015823
ELEC-day6,0.0,0.0,0.0,,,3,2026-02-04 12:04:09.015823
ELEC-F,0.0,0.0,0.0,,,3,2026-02-04 12:04:09.015823
NG,2.21,2.19,2.23,800000.0,800000.0,4,2026-02-04 12:04:09.908344
ELEC-day2,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.908344
ELEC-day3,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.908344
ELEC-day4,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.908344
ELEC-day5,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.908344
ELEC-day6,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.908344
ELEC-F,0.0,0.0,0.0,,,4,2026-02-04 12:04:09.908344
NG,2.21,2.19,2.23,800000.0,800000.0,5,2026-02-04 12:04:10.467160
ELEC-day2,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.467160
ELEC-day3,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.467160
ELEC-day4,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.467160
ELEC-day5,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.467160
ELEC-day6,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.467160
ELEC-F,0.0,0.0,0.0,,,5,2026-02-04 12:04:10.467160
NG,2.21,2.19,2.23,800000.0,800000.0,6,2026-02-04 12:04:11.510698
ELEC-day2,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.510698
ELEC-day3,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.510698
ELEC-day4,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.510698
ELEC-day5,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.510698
ELEC-day6,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.510698
ELEC-F,0.0,0.0,0.0,,,6,2026-02-04 12:04:11.510698
NG,2.21,2.19,2.23,800000.0,800000.0,7,2026-02-04 12:04:12.571833
ELEC-day2,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.571833
ELEC-day3,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.571833
ELEC-day4,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.571833
ELEC-day5,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.571833
ELEC-day6,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.571833
ELEC-F,0.0,0.0,0.0,,,7,2026-02-04 12:04:12.571833
NG,2.19,2.17,2.21,800000.0,800000.0,8,2026-02-04 12:04:13.219359
ELEC-day2,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.219359
ELEC-day3,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.219359
ELEC-day4,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.219359
ELEC-day5,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.219359
ELEC-day6,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.219359
ELEC-F,0.0,0.0,0.0,,,8,2026-02-04 12:04:13.219359
NG,2.2,2.18,2.22,800000.0,800000.0,9,2026-02-04 12:04:14.447527
ELEC-day2,0.0,0.0,0.0,,,9,2026-02-04 12:04:14.447527
ELEC-day3,0.0,0.0,0.0,,,9,2026-02-04 12:04:14.447527
ELEC-day4,0.0,0.0,0.0,,,9,2026-02-04 12:04:14.447527
ELEC-day5,0.0,0.0,0.0,,,9,2026-02-04 12:04:14.447527
ELEC-day6,0.0,0.0,0.0,,,9,2026-02-04 12:04:14.447527
ELEC-F,0.0,0.0,0.0,,,9,2026-02-04 12:04:14.447527
NG,2.2,2.18,2.22,800000.0,800000.0,10,2026-02-04 12:04:15.261083
ELEC-day2,0.0,0.0,0.0,,,10,2026-02-04 12:04:15.261083
