ticker,last_price,bid_price,ask_price,SELL_UOTB-D,BUY_ANON,SELL_LETH-T2,BUY_LETH-D,SELL_ANON,BUY_UOTB-P,BUY_UOTB-D,SELL_LETH-D,SELL_UOTB-T1,SELL_UOTB-P,SELL_LETH-P,SELL_BABS-P,BUY_LETH-P,tick,timestamp
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 17:37:22.349687
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 17:37:22.349687
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 17:37:22.349687
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 17:37:22.349687
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-04 17:37:22.349687
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 17:37:23.476451
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 17:37:23.476451
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 17:37:23.476451
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 17:37:23.476451
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 17:37:23.476451
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 17:37:23.476451
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-04 17:37:23.476451
NG,2.19,2.17,2.21,800000.0,800000.0,,0,0,0,0,0,0,0,0,0,0,8,2026-02-04 17:37:24.507695
ELEC-day2,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,8,2026-02-04 17:37:24.507695
ELEC-day3,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,8,2026-02-04 17:37:24.507695
ELEC-day4,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,8,2026-02-04 17:37:24.507695
ELEC-day5,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,8,2026-02-04 17:37:24.507695
ELEC-day6,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,8,2026-02-04 17:37:24.507695
ELEC-F,0.0,0.0,100.0,,,10.0,0,0,0,0,0,0,0,0,0,0,8,2026-02-04 17:37:24.507695
NG,2.19,2.17,2.21,800000.0,800000.0,,0,0,0,0,0,0,0,0,0,0,9,2026-02-04 17:37:25.540023
ELEC-day2,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,9,2026-02-04 17:37:25.540023
ELEC-day3,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,9,2026-02-04 17:37:25.540023
ELEC-day4,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,9,2026-02-04 17:37:25.540023
ELEC-day5,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,9,2026-02-04 17:37:25.540023
ELEC-day6,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,9,2026-02-04 17:37:25.540023
ELEC-F,0.0,0.0,100.0,,,10.0,0,0,0,0,0,0,0,0,0,0,9,2026-02-04 17:37:25.540023
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-04 17:37:26.579313
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-04 17:37:26.579313
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-04 17:37:26.579313
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-04 17:37:26.579313
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-04 17:37:26.579313
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-04 17:37:26.579313
ELEC-F,0.0,0.0,100.0,,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-04 17:37:26.579313
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-04 17:37:27.653514
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-04 17:37:27.653514
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-04 17:37:27.653514
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-04 17:37:27.653514
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-04 17:37:27.653514
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-04 17:37:27.653514
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-04 17:37:27.653514
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 17:37:28.697140
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 17:37:28.697140
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 17:37:28.697140
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 17:37:28.697140
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 17:37:28.697140
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 17:37:28.697140
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 17:37:28.697140
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 17:37:29.741999
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 17:37:29.741999
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 17:37:29.741999
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 17:37:29.741999
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 17:37:29.741999
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 17:37:29.741999
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 17:37:29.741999
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 17:37:30.784380
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 17:37:30.784380
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 17:37:30.784380
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 17:37:30.784380
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 17:37:30.784380
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 17:37:30.784380
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 17:37:30.784380
NG,2.16,2.14,2.18,800000.0,800000.0,,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 17:37:31.424799
ELEC-day2,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 17:37:31.424799
ELEC-day3,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 17:37:31.424799
ELEC-day4,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 17:37:31.424799
ELEC-day5,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 17:37:31.424799
ELEC-day6,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 17:37:31.424799
ELEC-F,100.0,0.0,100.0,,,40.0,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 17:37:31.424799
NG,2.16,2.14,2.18,800000.0,800000.0,,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 17:37:32.541999
ELEC-day2,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 17:37:32.541999
ELEC-day3,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 17:37:32.541999
ELEC-day4,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 17:37:32.541999
ELEC-day5,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 17:37:32.541999
ELEC-day6,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 17:37:32.541999
ELEC-F,100.0,0.0,100.0,,,60.0,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 17:37:32.541999
NG,2.17,2.15,2.19,800000.0,800000.0,,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 17:37:33.588317
ELEC-day2,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 17:37:33.588317
ELEC-day3,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 17:37:33.588317
ELEC-day4,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 17:37:33.588317
ELEC-day5,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 17:37:33.588317
ELEC-day6,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 17:37:33.588317
ELEC-F,100.0,0.0,100.0,,,50.0,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 17:37:33.588317
NG,2.16,2.14,2.18,800000.0,800000.0,,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 17:37:34.644294
ELEC-day2,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 17:37:34.644294
ELEC-day3,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 17:37:34.644294
ELEC-day4,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 17:37:34.644294
ELEC-day5,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 17:37:34.644294
ELEC-day6,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 17:37:34.644294
ELEC-F,100.0,0.0,100.0,,,20.0,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 17:37:34.644294
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 17:37:35.701275
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 17:37:35.701275
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 17:37:35.701275
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 17:37:35.701275
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 17:37:35.701275
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 17:37:35.701275
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 17:37:35.701275
NG,2.15,2.13,2.17,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 17:37:36.740469
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 17:37:36.740469
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 17:37:36.740469
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 17:37:36.740469
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 17:37:36.740469
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 17:37:36.740469
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 17:37:36.740469
NG,2.15,2.13,2.17,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 17:37:37.781947
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 17:37:37.781947
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 17:37:37.781947
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 17:37:37.781947
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 17:37:37.781947
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 17:37:37.781947
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 17:37:37.781947
NG,2.15,2.13,2.17,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 17:37:38.820081
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 17:37:38.820081
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 17:37:38.820081
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 17:37:38.820081
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 17:37:38.820081
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 17:37:38.820081
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 17:37:38.820081
NG,2.15,2.13,2.17,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 17:37:39.871498
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 17:37:39.871498
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 17:37:39.871498
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 17:37:39.871498
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 17:37:39.871498
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 17:37:39.871498
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 17:37:39.871498
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 17:37:40.457592
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 17:37:40.457592
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 17:37:40.457592
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 17:37:40.457592
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 17:37:40.457592
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 17:37:40.457592
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 17:37:40.457592
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 17:37:41.590907
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 17:37:41.590907
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 17:37:41.590907
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 17:37:41.590907
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 17:37:41.590907
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 17:37:41.590907
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 17:37:41.590907
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 17:37:42.633650
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 17:37:42.633650
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 17:37:42.633650
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 17:37:42.633650
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 17:37:42.633650
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 17:37:42.633650
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 17:37:42.633650
NG,2.14,2.12,2.16,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 17:37:43.670408
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 17:37:43.670408
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 17:37:43.670408
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 17:37:43.670408
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 17:37:43.670408
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 17:37:43.670408
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 17:37:43.670408
NG,2.13,2.11,2.15,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 17:37:44.729438
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 17:37:44.729438
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 17:37:44.729438
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 17:37:44.729438
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 17:37:44.729438
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 17:37:44.729438
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 17:37:44.729438
NG,2.13,2.11,2.15,800000.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 17:37:45.791196
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 17:37:45.791196
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 17:37:45.791196
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 17:37:45.791196
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 17:37:45.791196
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 17:37:45.791196
ELEC-F,100.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 17:37:45.791196
NG,2.13,2.11,2.15,800000.0,800000.0,,0,0,0,0,0,0,0,0,0,0,30,2026-02-04 17:37:46.840822
ELEC-day2,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,30,2026-02-04 17:37:46.840822
ELEC-day3,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,30,2026-02-04 17:37:46.840822
ELEC-day4,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,30,2026-02-04 17:37:46.840822
ELEC-day5,0.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,30,2026-02-04 17:37:46.840822
