ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_UOTB-P,BUY_UOTB-D,SELL_UOTB-T1,SELL_UOTB-D,SELL_BABS-P,BUY_UOTB-P,tick,timestamp,news_news_id,news_period,news_tick,news_ticker,news_headline,news_body
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,1,2026-02-04 15:58:03.391159,3.0,1.0,1.0,,You are logged in as a TRADER,
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 15:58:03.391159,2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract."
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 15:58:03.391159,1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 15:58:03.391159,,,,,,
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 15:58:03.391159,,,,,,
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 15:58:03.391159,,,,,,
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 15:58:03.391159,,,,,,
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,2,2026-02-04 15:58:03.936112
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 15:58:03.936112
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 15:58:03.936112
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 15:58:03.936112
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 15:58:03.936112
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 15:58:03.936112
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 15:58:03.936112
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,3,2026-02-04 15:58:04.978647
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 15:58:04.978647
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 15:58:04.978647
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 15:58:04.978647
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,3,2026-02-04 15:58:04.978647
