news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-T1,BUY_LUIS-T1
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 04:53:08.987168,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 04:53:08.987168,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 04:53:08.987168,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,5,2026-02-01 04:53:08.987168,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,6,2026-02-01 04:53:10.012831,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,6,2026-02-01 04:53:10.012831,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 04:53:10.012831,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 04:53:10.012831,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 04:53:10.012831,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 04:53:10.012831,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,6,2026-02-01 04:53:10.012831,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,7,2026-02-01 04:53:11.037113,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,7,2026-02-01 04:53:11.037113,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",7,2026-02-01 04:53:11.037113,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,7,2026-02-01 04:53:11.037113,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 04:53:11.037113,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 04:53:11.037113,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,7,2026-02-01 04:53:11.037113,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,8,2026-02-01 04:53:12.061044,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,8,2026-02-01 04:53:12.061044,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",8,2026-02-01 04:53:12.061044,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,8,2026-02-01 04:53:12.061044,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 04:53:12.061044,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 04:53:12.061044,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,8,2026-02-01 04:53:12.061044,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,9,2026-02-01 04:53:13.098068,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,9,2026-02-01 04:53:13.098068,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",9,2026-02-01 04:53:13.098068,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,9,2026-02-01 04:53:13.098068,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 04:53:13.098068,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 04:53:13.098068,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,9,2026-02-01 04:53:13.098068,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,10,2026-02-01 04:53:14.127282,NG,2.19,2.17,2.21,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,10,2026-02-01 04:53:14.127282,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",10,2026-02-01 04:53:14.127282,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,10,2026-02-01 04:53:14.127282,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,10,2026-02-01 04:53:14.127282,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,10,2026-02-01 04:53:14.127282,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,10,2026-02-01 04:53:14.127282,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,11,2026-02-01 04:53:15.163250,NG,2.17,2.15,2.19,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,11,2026-02-01 04:53:15.163250,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",11,2026-02-01 04:53:15.163250,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,11,2026-02-01 04:53:15.163250,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,11,2026-02-01 04:53:15.163250,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,11,2026-02-01 04:53:15.163250,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,11,2026-02-01 04:53:15.163250,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,12,2026-02-01 04:53:16.200098,NG,2.17,2.15,2.19,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,12,2026-02-01 04:53:16.200098,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",12,2026-02-01 04:53:16.200098,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,12,2026-02-01 04:53:16.200098,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,12,2026-02-01 04:53:16.200098,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,12,2026-02-01 04:53:16.200098,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,12,2026-02-01 04:53:16.200098,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,13,2026-02-01 04:53:17.237301,NG,2.16,2.14,2.18,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,13,2026-02-01 04:53:17.237301,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",13,2026-02-01 04:53:17.237301,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,13,2026-02-01 04:53:17.237301,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,13,2026-02-01 04:53:17.237301,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,13,2026-02-01 04:53:17.237301,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,13,2026-02-01 04:53:17.237301,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,14,2026-02-01 04:53:18.267467,NG,2.16,2.14,2.18,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,14,2026-02-01 04:53:18.267467,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",14,2026-02-01 04:53:18.267467,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,14,2026-02-01 04:53:18.267467,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,14,2026-02-01 04:53:18.267467,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,14,2026-02-01 04:53:18.267467,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,14,2026-02-01 04:53:18.267467,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,15,2026-02-01 04:53:19.317115,NG,2.16,2.14,2.18,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,15,2026-02-01 04:53:19.317115,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",15,2026-02-01 04:53:19.317115,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,15,2026-02-01 04:53:19.317115,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,15,2026-02-01 04:53:19.317115,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,15,2026-02-01 04:53:19.317115,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,15,2026-02-01 04:53:19.317115,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,16,2026-02-01 04:53:20.361189,NG,2.16,2.14,2.18,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,16,2026-02-01 04:53:20.361189,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",16,2026-02-01 04:53:20.361189,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,16,2026-02-01 04:53:20.361189,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,16,2026-02-01 04:53:20.361189,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,16,2026-02-01 04:53:20.361189,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,16,2026-02-01 04:53:20.361189,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,17,2026-02-01 04:53:21.388622,NG,2.17,2.15,2.19,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,17,2026-02-01 04:53:21.388622,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",17,2026-02-01 04:53:21.388622,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,17,2026-02-01 04:53:21.388622,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,17,2026-02-01 04:53:21.388622,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,17,2026-02-01 04:53:21.388622,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,17,2026-02-01 04:53:21.388622,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,18,2026-02-01 04:53:22.434437,NG,2.16,2.14,2.18,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,18,2026-02-01 04:53:22.434437,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",18,2026-02-01 04:53:22.434437,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,18,2026-02-01 04:53:22.434437,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,18,2026-02-01 04:53:22.434437,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,18,2026-02-01 04:53:22.434437,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,18,2026-02-01 04:53:22.434437,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,19,2026-02-01 04:53:23.461031,NG,2.16,2.14,2.18,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,19,2026-02-01 04:53:23.461031,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",19,2026-02-01 04:53:23.461031,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,19,2026-02-01 04:53:23.461031,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,19,2026-02-01 04:53:23.461031,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,19,2026-02-01 04:53:23.461031,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,19,2026-02-01 04:53:23.461031,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,20,2026-02-01 04:53:24.511088,NG,2.15,2.13,2.17,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,20,2026-02-01 04:53:24.511088,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",20,2026-02-01 04:53:24.511088,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,20,2026-02-01 04:53:24.511088,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,20,2026-02-01 04:53:24.511088,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,20,2026-02-01 04:53:24.511088,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,20,2026-02-01 04:53:24.511088,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,21,2026-02-01 04:53:25.545989,NG,2.15,2.13,2.17,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,21,2026-02-01 04:53:25.545989,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",21,2026-02-01 04:53:25.545989,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,21,2026-02-01 04:53:25.545989,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,21,2026-02-01 04:53:25.545989,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,21,2026-02-01 04:53:25.545989,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,21,2026-02-01 04:53:25.545989,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,22,2026-02-01 04:53:26.589492,NG,2.15,2.13,2.17,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,22,2026-02-01 04:53:26.589492,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",22,2026-02-01 04:53:26.589492,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,22,2026-02-01 04:53:26.589492,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,22,2026-02-01 04:53:26.589492,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,22,2026-02-01 04:53:26.589492,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,22,2026-02-01 04:53:26.589492,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,23,2026-02-01 04:53:27.636975,NG,2.15,2.13,2.17,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,23,2026-02-01 04:53:27.636975,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",23,2026-02-01 04:53:27.636975,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,23,2026-02-01 04:53:27.636975,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,23,2026-02-01 04:53:27.636975,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,23,2026-02-01 04:53:27.636975,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,23,2026-02-01 04:53:27.636975,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,25,2026-02-01 04:53:28.772655,NG,2.14,2.12,2.16,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,25,2026-02-01 04:53:28.772655,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",25,2026-02-01 04:53:28.772655,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,25,2026-02-01 04:53:28.772655,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,25,2026-02-01 04:53:28.772655,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,25,2026-02-01 04:53:28.772655,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,25,2026-02-01 04:53:28.772655,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,26,2026-02-01 04:53:29.808586,NG,2.14,2.12,2.16,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,26,2026-02-01 04:53:29.808586,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",26,2026-02-01 04:53:29.808586,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,26,2026-02-01 04:53:29.808586,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,26,2026-02-01 04:53:29.808586,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,26,2026-02-01 04:53:29.808586,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,26,2026-02-01 04:53:29.808586,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,27,2026-02-01 04:53:30.836963,NG,2.14,2.12,2.16,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,27,2026-02-01 04:53:30.836963,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",27,2026-02-01 04:53:30.836963,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,27,2026-02-01 04:53:30.836963,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,27,2026-02-01 04:53:30.836963,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,27,2026-02-01 04:53:30.836963,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,27,2026-02-01 04:53:30.836963,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,28,2026-02-01 04:53:31.873216,NG,2.13,2.11,2.15,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,28,2026-02-01 04:53:31.873216,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",28,2026-02-01 04:53:31.873216,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,28,2026-02-01 04:53:31.873216,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,28,2026-02-01 04:53:31.873216,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,28,2026-02-01 04:53:31.873216,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,28,2026-02-01 04:53:31.873216,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,29,2026-02-01 04:53:32.903215,NG,2.13,2.11,2.15,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,29,2026-02-01 04:53:32.903215,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",29,2026-02-01 04:53:32.903215,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,29,2026-02-01 04:53:32.903215,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,29,2026-02-01 04:53:32.903215,ELEC-day5,0.0,0.0,0.0,,,0,0
