ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,tick,timestamp
NG,0.0,0.0,0.0,0,0,0,2026-02-04 12:20:28.400787
ELEC-day2,0.0,0.0,0.0,0,0,0,2026-02-04 12:20:28.400787
ELEC-day3,0.0,0.0,0.0,0,0,0,2026-02-04 12:20:28.400787
ELEC-day4,0.0,0.0,0.0,0,0,0,2026-02-04 12:20:28.400787
ELEC-day5,0.0,0.0,0.0,0,0,0,2026-02-04 12:20:28.400787
ELEC-day6,0.0,0.0,0.0,0,0,0,2026-02-04 12:20:28.400787
ELEC-F,0.0,0.0,0.0,0,0,0,2026-02-04 12:20:28.400787
NG,2.2,0.0,0.0,800000.0,800000.0,1,2026-02-04 12:20:29.078900,3.0,1.0,1.0,,You are logged in as a PRODUCER,
ELEC-day2,0.0,0.0,0.0,,,1,2026-02-04 12:20:29.078900,2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract."
ELEC-day3,0.0,0.0,0.0,,,1,2026-02-04 12:20:29.078900,1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,
ELEC-day4,0.0,0.0,0.0,,,1,2026-02-04 12:20:29.078900,,,,,,
ELEC-day5,0.0,0.0,0.0,,,1,2026-02-04 12:20:29.078900,,,,,,
ELEC-day6,0.0,0.0,0.0,,,1,2026-02-04 12:20:29.078900,,,,,,
ELEC-F,0.0,0.0,0.0,,,1,2026-02-04 12:20:29.078900,,,,,,
NG,2.21,2.19,2.23,800000.0,800000.0,2,2026-02-04 12:20:30.279548,4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 12 and 20 hours of sunlight tomorrow.
ELEC-day2,0.0,0.0,0.0,,,2,2026-02-04 12:20:30.279548,,,,,,
ELEC-day3,0.0,0.0,0.0,,,2,2026-02-04 12:20:30.279548,,,,,,
ELEC-day4,0.0,0.0,0.0,,,2,2026-02-04 12:20:30.279548,,,,,,
ELEC-day5,0.0,0.0,0.0,,,2,2026-02-04 12:20:30.279548,,,,,,
ELEC-day6,0.0,0.0,0.0,,,2,2026-02-04 12:20:30.279548,,,,,,
ELEC-F,0.0,0.0,0.0,,,2,2026-02-04 12:20:30.279548,,,,,,
NG,2.2,2.18,2.22,800000.0,800000.0,3,2026-02-04 12:20:31.354781
ELEC-day2,0.0,0.0,0.0,,,3,2026-02-04 12:20:31.354781
ELEC-day3,0.0,0.0,0.0,,,3,2026-02-04 12:20:31.354781
ELEC-day4,0.0,0.0,0.0,,,3,2026-02-04 12:20:31.354781
ELEC-day5,0.0,0.0,0.0,,,3,2026-02-04 12:20:31.354781
ELEC-day6,0.0,0.0,0.0,,,3,2026-02-04 12:20:31.354781
ELEC-F,0.0,0.0,0.0,,,3,2026-02-04 12:20:31.354781
NG,2.2,2.18,2.22,800000.0,800000.0,4,2026-02-04 12:20:32.390171
ELEC-day2,0.0,0.0,0.0,,,4,2026-02-04 12:20:32.390171
ELEC-day3,0.0,0.0,0.0,,,4,2026-02-04 12:20:32.390171
ELEC-day4,0.0,0.0,0.0,,,4,2026-02-04 12:20:32.390171
ELEC-day5,0.0,0.0,0.0,,,4,2026-02-04 12:20:32.390171
ELEC-day6,0.0,0.0,0.0,,,4,2026-02-04 12:20:32.390171
ELEC-F,0.0,0.0,0.0,,,4,2026-02-04 12:20:32.390171
NG,2.19,2.17,2.21,800000.0,800000.0,5,2026-02-04 12:20:33.430316
ELEC-day2,0.0,0.0,0.0,,,5,2026-02-04 12:20:33.430316
ELEC-day3,0.0,0.0,0.0,,,5,2026-02-04 12:20:33.430316
ELEC-day4,0.0,0.0,0.0,,,5,2026-02-04 12:20:33.430316
ELEC-day5,0.0,0.0,0.0,,,5,2026-02-04 12:20:33.430316
ELEC-day6,0.0,0.0,0.0,,,5,2026-02-04 12:20:33.430316
ELEC-F,0.0,0.0,0.0,,,5,2026-02-04 12:20:33.430316
NG,2.2,2.18,2.22,800000.0,800000.0,6,2026-02-04 12:20:34.471411
ELEC-day2,0.0,0.0,0.0,,,6,2026-02-04 12:20:34.471411
ELEC-day3,0.0,0.0,0.0,,,6,2026-02-04 12:20:34.471411
ELEC-day4,0.0,0.0,0.0,,,6,2026-02-04 12:20:34.471411
ELEC-day5,0.0,0.0,0.0,,,6,2026-02-04 12:20:34.471411
ELEC-day6,0.0,0.0,0.0,,,6,2026-02-04 12:20:34.471411
ELEC-F,0.0,0.0,0.0,,,6,2026-02-04 12:20:34.471411
