ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-1,SELL_GIOT-2,BUY_GIOT-3,BUY_GIOT-2,SELL_GIOT-1,SELL_GIOT-3,tick,timestamp,news_news_id,news_period,news_tick,news_ticker,news_headline,news_body
RITC,10.02,9.99,10.02,204500.0,202200.0,0,0,0,0,0,0,1,2026-02-03 10:28:04.236568,1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!
COMP,25.0,24.96,25.0,130400.0,140300.0,0,0,0,0,0,0,1,2026-02-03 10:28:04.236568,,,,,,
RITC,10.02,9.99,10.02,204400.0,202200.0,0,0,0,0,0,0,2,2026-02-03 10:28:05.291221
COMP,25.0,24.97,25.0,130900.0,141100.0,0,0,0,0,0,0,2,2026-02-03 10:28:05.291221
RITC,10.02,10.01,10.02,203800.0,202200.0,0,0,0,0,0,0,3,2026-02-03 10:28:06.345603
COMP,25.01,25.01,25.02,130200.0,139100.0,0,0,0,0,0,0,3,2026-02-03 10:28:06.345603
RITC,10.02,10.01,10.02,206700.0,202200.0,0,0,0,0,0,0,4,2026-02-03 10:28:07.380854
COMP,25.02,25.02,25.06,131800.0,141100.0,0,0,0,0,0,0,4,2026-02-03 10:28:07.380854
RITC,10.03,10.01,10.03,206700.0,202200.0,0,0,0,0,0,0,5,2026-02-03 10:28:08.409719
COMP,25.06,25.07,25.08,132100.0,133000.0,0,0,0,0,0,0,5,2026-02-03 10:28:08.409719
RITC,10.03,10.01,10.03,206700.0,202200.0,0,0,0,0,0,0,6,2026-02-03 10:28:08.933928
COMP,25.06,25.07,25.08,132100.0,133000.0,0,0,0,0,0,0,6,2026-02-03 10:28:08.933928
RITC,10.03,10.02,10.03,206100.0,200800.0,0,0,0,0,0,0,7,2026-02-03 10:28:09.961544
COMP,25.08,25.07,25.08,132100.0,124900.0,0,0,0,0,0,0,7,2026-02-03 10:28:09.961544
RITC,10.03,10.02,10.03,205700.0,200500.0,0,0,0,0,0,0,8,2026-02-03 10:28:10.990633
COMP,25.09,25.07,25.09,132100.0,123900.0,0,0,0,0,0,0,8,2026-02-03 10:28:10.990633
RITC,10.04,10.03,10.04,206400.0,190900.0,0,0,0,0,0,0,9,2026-02-03 10:28:12.012098
COMP,25.09,25.07,25.09,132100.0,123900.0,0,0,0,0,0,0,9,2026-02-03 10:28:12.012098
RITC,10.04,10.04,10.05,205400.0,180200.0,0,0,0,0,0,0,10,2026-02-03 10:28:13.033800
COMP,25.09,25.07,25.08,133000.0,130100.0,0,0,0,0,0,0,10,2026-02-03 10:28:13.033800
RITC,10.04,10.04,10.05,205500.0,180200.0,0,0,0,0,0,0,11,2026-02-03 10:28:14.133536
COMP,25.1,25.07,25.1,133000.0,116500.0,0,0,0,0,0,0,11,2026-02-03 10:28:14.133536
RITC,10.05,10.04,10.05,201700.0,180200.0,0,0,0,0,0,0,12,2026-02-03 10:28:15.154124
COMP,25.1,25.07,25.1,131600.0,116500.0,0,0,0,0,0,0,12,2026-02-03 10:28:15.154124
RITC,10.05,10.05,10.06,201600.0,159200.0,0,0,0,0,0,0,13,2026-02-03 10:28:16.177485
COMP,25.1,25.08,25.1,133900.0,108300.0,0,0,0,0,0,0,13,2026-02-03 10:28:16.177485
RITC,10.07,10.05,10.07,201800.0,148400.0,0,0,0,0,0,0,14,2026-02-03 10:28:17.208655
COMP,25.1,25.08,25.1,132800.0,108300.0,0,0,0,0,0,0,14,2026-02-03 10:28:17.208655
RITC,10.07,10.05,10.06,204200.0,159600.0,0,0,0,0,0,0,15,2026-02-03 10:28:18.248884
COMP,25.12,25.12,25.13,134100.0,96500.0,0,0,0,0,0,0,15,2026-02-03 10:28:18.248884
RITC,10.07,10.05,10.06,202100.0,159600.0,0,0,0,0,0,0,16,2026-02-03 10:28:19.291644
COMP,25.14,25.12,25.14,134100.0,90800.0,0,0,0,0,0,0,16,2026-02-03 10:28:19.291644
RITC,10.07,10.05,10.06,203200.0,159600.0,0,0,0,0,0,0,17,2026-02-03 10:28:20.334538
COMP,25.15,25.12,25.15,134100.0,78700.0,0,0,0,0,0,0,17,2026-02-03 10:28:20.334538
RITC,10.07,10.05,10.06,201600.0,159600.0,0,0,0,0,0,0,18,2026-02-03 10:28:21.364339
