news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_CHUL-P,SELL_CHUL-T1,BUY_CHUL-T1
3.0,1.0,1.0,,You are logged in as a TRADER,,1,2026-02-02 00:55:47.265691,NG,2.2,0.0,0.0,800000.0,800000.0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",1,2026-02-02 00:55:47.265691,ELEC-day2,0.0,0.0,0.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,1,2026-02-02 00:55:47.265691,ELEC-day3,0.0,0.0,0.0,,,0,0,0
,,,,,,1,2026-02-02 00:55:47.265691,ELEC-day4,0.0,0.0,0.0,,,0,0,0
,,,,,,1,2026-02-02 00:55:47.265691,ELEC-day5,0.0,0.0,0.0,,,0,0,0
,,,,,,1,2026-02-02 00:55:47.265691,ELEC-day6,0.0,0.0,0.0,,,0,0,0
,,,,,,1,2026-02-02 00:55:47.265691,ELEC-F,0.0,0.0,0.0,,,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,2,2026-02-02 00:55:48.296080,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-02 00:55:48.296080,ELEC-day2,0.0,0.0,0.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-02 00:55:48.296080,ELEC-day3,0.0,0.0,0.0,,,0,0,0
,,,,,,2,2026-02-02 00:55:48.296080,ELEC-day4,0.0,0.0,0.0,,,0,0,0
,,,,,,2,2026-02-02 00:55:48.296080,ELEC-day5,0.0,0.0,0.0,,,0,0,0
,,,,,,2,2026-02-02 00:55:48.296080,ELEC-day6,0.0,0.0,0.0,,,0,0,0
,,,,,,2,2026-02-02 00:55:48.296080,ELEC-F,0.0,0.0,0.0,,,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,3,2026-02-02 00:55:49.330431,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-02 00:55:49.330431,ELEC-day2,0.0,0.0,0.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-02 00:55:49.330431,ELEC-day3,0.0,0.0,0.0,,,0,0,0
,,,,,,3,2026-02-02 00:55:49.330431,ELEC-day4,0.0,0.0,0.0,,,0,0,0
,,,,,,3,2026-02-02 00:55:49.330431,ELEC-day5,0.0,0.0,0.0,,,0,0,0
,,,,,,3,2026-02-02 00:55:49.330431,ELEC-day6,0.0,0.0,0.0,,,0,0,0
,,,,,,3,2026-02-02 00:55:49.330431,ELEC-F,0.0,0.0,0.0,,,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,4,2026-02-02 00:55:50.354115,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0
