ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_ZUAI-5,BUY_ZUAI-2,SELL_ZUAI-5,SELL_WRSW-6,BUY_WRSW-6,tick,timestamp,news_news_id,news_period,news_tick,news_ticker,news_headline,news_body
TGX,43.68,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
BYL,43.54,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
GGD,31.52,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
PNR,59.8,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
FSR,30.46,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
ATB,62.2,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
SPK,52.75,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
EEC,48.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,1,2026-02-03 11:36:53.942228,,,,,,
TGX,43.71,43.7,43.72,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
PHR,47.57,47.56,47.58,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
BYL,43.68,43.67,43.69,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
CLD,79.58,79.57,79.59,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
GGD,31.59,31.58,31.6,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
PNR,59.79,59.78,59.8,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
FSR,30.47,30.46,30.48,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
ATB,62.27,62.26,62.28,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
SPK,52.65,52.64,52.66,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
EEC,47.81,47.8,47.82,50000000.0,50000000.0,0,0,0,0,0,2,2026-02-03 11:36:54.996413
TGX,43.64,43.63,43.65,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
PHR,47.65,47.64,47.66,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
BYL,43.58,43.57,43.59,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
CLD,79.17,79.16,79.18,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
GGD,31.65,31.64,31.66,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
PNR,59.88,59.87,59.89,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
FSR,30.5,30.49,30.51,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
ATB,62.26,62.25,62.27,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
SPK,52.58,52.57,52.59,50000000.0,50000000.0,0,0,0,0,0,3,2026-02-03 11:36:56.034670
