ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_CITY-3,BUY_GIOT-1,BUY_DUBL-6,BUY_COLA-6,BUY_OTWA-1,SELL_GIOT-1,BUY_CITY-3,BUY_UEBR-2,SELL_OTWA-1,SELL_UEBR-2,tick,timestamp
TGX,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
PHR,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
BYL,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
CLD,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
GGD,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
PNR,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
FSR,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
ATB,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
SPK,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
EEC,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,0,2026-02-05 05:34:59.034455
TGX,43.71,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 05:34:59.734371,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 05:34:59.734371,,,,,,
BYL,43.45,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 05:34:59.734371,,,,,,
CLD,79.3,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 05:34:59.734371,,,,,,
GGD,31.46,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,0,0,0,0,0,1,2026-02-05 05:34:59.734371,,,,,,
