news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_BOST-6,SELL_BOST-6
2.0,1.0,1.0,Week 1,Delta limit and penalty,The delta limit for this sub-heat is 6000 and the penalty percentage is 2%,3,2026-02-01 02:59:05.902876,RTM,50.03,50.02,50.04,100000000.0,100000000.0,0,0
1.0,1.0,1.0,Week 1,Risk free rate and current annualized volatility of RTM,The current risk free rate is 0%. RTM is an ETF that mimics one of the major indices in the simulated world and its current annualized realized volatility is 11%. This simulation consists of 20 trading days that are each 15 ticks in length.,3,2026-02-01 02:59:05.902876,RTM1C45,5.03,5.02,5.04,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P45,0.02,0.01,0.03,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C46,4.04,4.03,4.05,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P46,0.02,0.01,0.03,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C47,3.07,3.06,3.08,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P47,0.04,0.03,0.05,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C48,2.22,2.21,2.23,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P48,0.19,0.18,0.2,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C49,1.47,1.46,1.48,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P49,0.44,0.43,0.45,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C50,0.88,0.87,0.89,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P50,0.85,0.84,0.86,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C51,0.39,0.38,0.4,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P51,1.36,1.35,1.37,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C52,0.17,0.16,0.18,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P52,2.14,2.13,2.15,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C53,0.06,0.05,0.07,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P53,3.03,3.02,3.04,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1C54,0.03,0.02,0.04,1000000.0,1000000.0,0,0
,,,,,,3,2026-02-01 02:59:05.902876,RTM1P54,4.0,3.99,4.01,1000000.0,1000000.0,0,0
2.0,1.0,1.0,Week 1,Delta limit and penalty,The delta limit for this sub-heat is 6000 and the penalty percentage is 2%,4,2026-02-01 02:59:06.964565,RTM,49.98,49.97,49.99,100000000.0,100000000.0,0,0
1.0,1.0,1.0,Week 1,Risk free rate and current annualized volatility of RTM,The current risk free rate is 0%. RTM is an ETF that mimics one of the major indices in the simulated world and its current annualized realized volatility is 11%. This simulation consists of 20 trading days that are each 15 ticks in length.,4,2026-02-01 02:59:06.964565,RTM1C45,4.99,4.98,5.0,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P45,0.02,0.01,0.03,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C46,4.01,4.0,4.02,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P46,0.02,0.01,0.03,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C47,3.04,3.03,3.05,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P47,0.06,0.05,0.07,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C48,2.15,2.14,2.16,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P48,0.17,0.16,0.18,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C49,1.4,1.39,1.41,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P49,0.41,0.4,0.42,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C50,0.79,0.78,0.8,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P50,0.8,0.79,0.81,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C51,0.39,0.38,0.4,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P51,1.4,1.39,1.41,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C52,0.2,0.19,0.21,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P52,2.21,2.2,2.22,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C53,0.06,0.05,0.07,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P53,3.07,3.06,3.08,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1C54,0.02,0.01,0.03,1000000.0,1000000.0,0,0
,,,,,,4,2026-02-01 02:59:06.964565,RTM1P54,4.03,4.02,4.04,1000000.0,1000000.0,0,0
2.0,1.0,1.0,Week 1,Delta limit and penalty,The delta limit for this sub-heat is 6000 and the penalty percentage is 2%,5,2026-02-01 02:59:08.026432,RTM,50.18,50.17,50.19,100000000.0,100000000.0,0,0
1.0,1.0,1.0,Week 1,Risk free rate and current annualized volatility of RTM,The current risk free rate is 0%. RTM is an ETF that mimics one of the major indices in the simulated world and its current annualized realized volatility is 11%. This simulation consists of 20 trading days that are each 15 ticks in length.,5,2026-02-01 02:59:08.026432,RTM1C45,5.19,5.18,5.2,1000000.0,1000000.0,0,0
,,,,,,5,2026-02-01 02:59:08.026432,RTM1P45,0.02,0.01,0.03,1000000.0,1000000.0,0,0
,,,,,,5,2026-02-01 02:59:08.026432,RTM1C46,4.19,4.18,4.2,1000000.0,1000000.0,0,0
,,,,,,5,2026-02-01 02:59:08.026432,RTM1P46,0.02,0.01,0.03,1000000.0,1000000.0,0,0
,,,,,,5,2026-02-01 02:59:08.026432,RTM1C47,3.23,3.22,3.24,1000000.0,1000000.0,0,0
,,,,,,5,2026-02-01 02:59:08.026432,RTM1P47,0.04,0.03,0.05,1000000.0,1000000.0,0,0
,,,,,,5,2026-02-01 02:59:08.026432,RTM1C48,2.35,2.34,2.36,1000000.0,1000000.0,0,0
