news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_COLA-1,SELL_COLA-1,BUY_GIOT-2,SELL_GIOT-2
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,3,2026-02-02 00:30:28.322977,RITC,10.0,9.99,10.0,190300.0,195800.0,0,0,0,0
,,,,,,3,2026-02-02 00:30:28.322977,COMP,24.96,24.96,25.0,142700.0,136800.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,4,2026-02-02 00:30:29.359633,RITC,10.01,10.0,10.01,190100.0,195900.0,0,0,0,0
,,,,,,4,2026-02-02 00:30:29.359633,COMP,24.96,24.96,24.97,142700.0,135700.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,5,2026-02-02 00:30:30.387443,RITC,10.01,10.0,10.01,189400.0,195900.0,0,0,0,0
,,,,,,5,2026-02-02 00:30:30.387443,COMP,24.96,24.96,24.97,143500.0,135200.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,6,2026-02-02 00:30:31.419209,RITC,10.02,10.0,10.02,191100.0,196500.0,0,0,0,0
,,,,,,6,2026-02-02 00:30:31.419209,COMP,24.97,24.96,24.99,143500.0,136800.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,7,2026-02-02 00:30:32.472693,RITC,10.02,10.01,10.02,193900.0,196600.0,0,0,0,0
,,,,,,7,2026-02-02 00:30:32.472693,COMP,24.95,24.95,24.96,141700.0,137600.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,8,2026-02-02 00:30:33.489137,RITC,10.02,10.01,10.02,193900.0,196700.0,0,0,0,0
,,,,,,8,2026-02-02 00:30:33.489137,COMP,24.96,24.95,24.96,141700.0,137600.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,9,2026-02-02 00:30:34.508407,RITC,10.02,10.01,10.02,194800.0,188000.0,0,0,0,0
,,,,,,9,2026-02-02 00:30:34.508407,COMP,25.0,24.95,25.0,144100.0,136800.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,10,2026-02-02 00:30:35.544775,RITC,10.04,10.01,10.04,193500.0,167400.0,0,0,0,0
,,,,,,10,2026-02-02 00:30:35.544775,COMP,25.0,24.95,24.99,144100.0,135700.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,11,2026-02-02 00:30:36.563809,RITC,10.04,10.04,10.05,195300.0,156900.0,0,0,0,0
,,,,,,11,2026-02-02 00:30:36.563809,COMP,25.0,24.95,24.99,144100.0,135400.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,12,2026-02-02 00:30:37.589043,RITC,10.04,10.04,10.05,195300.0,156900.0,0,0,0,0
,,,,,,12,2026-02-02 00:30:37.589043,COMP,25.0,24.95,24.99,144100.0,137300.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,13,2026-02-02 00:30:38.612592,RITC,10.05,10.04,10.05,195300.0,147700.0,0,0,0,0
,,,,,,13,2026-02-02 00:30:38.612592,COMP,25.0,24.95,24.99,144100.0,138500.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,14,2026-02-02 00:30:39.638754,RITC,10.05,10.04,10.05,196400.0,136900.0,0,0,0,0
,,,,,,14,2026-02-02 00:30:39.638754,COMP,25.0,24.94,25.0,144900.0,139000.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,15,2026-02-02 00:30:40.673244,RITC,10.05,10.04,10.05,197100.0,127400.0,0,0,0,0
,,,,,,15,2026-02-02 00:30:40.673244,COMP,25.0,24.98,25.0,146000.0,139000.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,16,2026-02-02 00:30:41.689443,RITC,10.05,10.04,10.05,200000.0,127400.0,0,0,0,0
,,,,,,16,2026-02-02 00:30:41.689443,COMP,24.98,24.98,25.0,146300.0,139000.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,17,2026-02-02 00:30:42.722533,RITC,10.06,10.05,10.06,200500.0,96300.0,0,0,0,0
,,,,,,17,2026-02-02 00:30:42.722533,COMP,25.01,24.98,25.01,146300.0,138200.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,18,2026-02-02 00:30:43.732250,RITC,10.06,10.05,10.06,202300.0,96300.0,0,0,0,0
,,,,,,18,2026-02-02 00:30:43.732250,COMP,25.01,25.01,25.02,145600.0,138700.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,19,2026-02-02 00:30:44.756855,RITC,10.06,10.05,10.06,202000.0,96300.0,0,0,0,0
,,,,,,19,2026-02-02 00:30:44.756855,COMP,25.02,25.01,25.02,145600.0,138700.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,20,2026-02-02 00:30:45.772513,RITC,10.06,10.07,10.08,201500.0,93800.0,0,0,0,0
,,,,,,20,2026-02-02 00:30:45.772513,COMP,25.02,25.01,25.02,143200.0,138300.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,21,2026-02-02 00:30:46.789030,RITC,10.08,10.07,10.08,201500.0,96000.0,0,0,0,0
,,,,,,21,2026-02-02 00:30:46.789030,COMP,25.02,25.01,25.03,143200.0,137300.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,22,2026-02-02 00:30:47.819281,RITC,10.08,10.07,10.08,201500.0,95400.0,0,0,0,0
,,,,,,22,2026-02-02 00:30:47.819281,COMP,25.02,25.01,25.03,143200.0,138600.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,23,2026-02-02 00:30:48.839090,RITC,10.08,10.07,10.08,203900.0,98800.0,0,0,0,0
,,,,,,23,2026-02-02 00:30:48.839090,COMP,24.95,24.95,25.03,145400.0,138600.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,24,2026-02-02 00:30:49.869099,RITC,10.09,10.08,10.09,203800.0,100400.0,0,0,0,0
,,,,,,24,2026-02-02 00:30:49.869099,COMP,24.94,24.94,25.03,145200.0,138600.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,25,2026-02-02 00:30:50.898049,RITC,10.11,10.08,10.11,203800.0,100200.0,0,0,0,0
,,,,,,25,2026-02-02 00:30:50.898049,COMP,24.94,24.99,25.03,144700.0,137300.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,26,2026-02-02 00:30:51.909199,RITC,10.11,10.09,10.11,204700.0,100200.0,0,0,0,0
,,,,,,26,2026-02-02 00:30:51.909199,COMP,24.99,24.99,25.03,144700.0,137300.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,27,2026-02-02 00:30:52.932281,RITC,10.11,10.09,10.11,207900.0,101200.0,0,0,0,0
,,,,,,27,2026-02-02 00:30:52.932281,COMP,24.99,24.99,25.03,144700.0,138100.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,28,2026-02-02 00:30:53.959322,RITC,10.12,10.11,10.12,209500.0,103900.0,0,0,0,0
,,,,,,28,2026-02-02 00:30:53.959322,COMP,24.99,24.99,25.03,144700.0,139100.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,29,2026-02-02 00:30:54.983042,RITC,10.12,10.11,10.12,212200.0,103700.0,0,0,0,0
,,,,,,29,2026-02-02 00:30:54.983042,COMP,24.94,24.94,25.03,144000.0,140800.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,30,2026-02-02 00:30:56.000562,RITC,10.12,10.11,10.12,210800.0,103700.0,0,0,0,0
,,,,,,30,2026-02-02 00:30:56.000562,COMP,24.94,24.94,24.97,145000.0,141600.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Liquidity Risk Case - practice server,Good Luck!,31,2026-02-02 00:30:57.019295,RITC,10.14,10.11,10.14,210800.0,105900.0,0,0,0,0
,,,,,,31,2026-02-02 00:30:57.019295,COMP,24.94,24.94,24.97,145000.0,141600.0,0,0,0,0
