tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON
0,2026-02-02 01:29:20.313160,RTM,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C45,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P45,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C46,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P46,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C47,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P47,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C48,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P48,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C49,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P49,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C50,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P50,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C51,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P51,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C52,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P52,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C53,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P53,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1C54,0.0,0.0,0.0,0,0
0,2026-02-02 01:29:20.313160,RTM1P54,0.0,0.0,0.0,0,0
2.0,1.0,1.0,Week 1,Delta limit and penalty,The delta limit for this sub-heat is 10000 and the penalty percentage is 1%,1,2026-02-02 01:29:21.383251,RTM,50.0,49.99,50.01,100000000.0,100000000.0
1.0,1.0,1.0,Week 1,Risk free rate and current annualized volatility of RTM,The current risk free rate is 0%. RTM is an ETF that mimics one of the major indices in the simulated world and its current annualized realized volatility is 28%. This simulation consists of 20 trading days that are each 15 ticks in length.,1,2026-02-02 01:29:21.383251,RTM1C45,5.05,5.04,5.06,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1P45,0.05,0.04,0.06,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1C46,4.11,4.1,4.12,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1P46,0.11,0.1,0.12,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1C47,3.24,3.23,3.25,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1P47,0.24,0.23,0.25,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1C48,2.45,2.44,2.46,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1P48,0.45,0.44,0.46,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1C49,1.65,1.64,1.66,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1P49,0.65,0.64,0.66,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1C50,1.29,1.28,1.3,1000000.0,1000000.0
,,,,,,1,2026-02-02 01:29:21.383251,RTM1P50,1.29,1.28,1.3,1000000.0,1000000.0
