ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_ZUAI-5,SELL_ZUAI-5,SELL_WRSW-6,BUY_WRSW-6,tick,timestamp
TGX,0.0,0.0,0.0,,,0,0,0,0,0,2026-02-03 08:00:59.582879
PHR,0.0,0.0,0.0,,,0,0,0,0,0,2026-02-03 08:00:59.582879
BYL,0.0,0.0,0.0,,,0,0,0,0,0,2026-02-03 08:00:59.582879
CLD,0.0,0.0,0.0,,,0,0,0,0,0,2026-02-03 08:00:59.582879
GGD,0.0,0.0,0.0,,,0,0,0,0,0,2026-02-03 08:00:59.582879
PNR,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,2026-02-03 08:00:59.582879
FSR,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,2026-02-03 08:00:59.582879
ATB,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,2026-02-03 08:00:59.582879
SPK,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,2026-02-03 08:00:59.582879
EEC,0.0,0.0,0.0,50000000.0,50000000.0,0,0,0,0,0,2026-02-03 08:00:59.582879
TGX,43.76,43.75,43.77,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,1.0,1.0,1.0,,Welcome to the RITC 2026 Merger Arbitrage Case - practice server,Good Luck!
PHR,47.5,47.49,47.51,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
BYL,43.54,43.53,43.55,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
CLD,79.3,79.29,79.31,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
GGD,31.5,31.49,31.51,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
PNR,59.8,59.79,59.81,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
FSR,30.49,30.48,30.5,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
ATB,62.2,62.19,62.21,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
SPK,52.83,52.82,52.84,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
EEC,48.0,47.99,48.01,50000000.0,50000000.0,0,0,0,0,1,2026-02-03 08:01:00.419673,,,,,,
TGX,43.73,43.72,43.74,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
PHR,47.94,47.93,47.95,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
BYL,43.49,43.48,43.5,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
CLD,79.03,79.02,79.04,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
GGD,31.38,31.37,31.39,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
PNR,59.61,59.6,59.62,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
FSR,30.5,30.49,30.51,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
ATB,61.74,61.73,61.75,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
SPK,52.77,52.76,52.78,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
EEC,47.91,47.9,47.92,50000000.0,50000000.0,0,0,0,0,2,2026-02-03 08:01:01.305997
TGX,43.75,43.74,43.76,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
PHR,48.03,48.02,48.04,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
BYL,43.36,43.35,43.37,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
CLD,78.8,78.79,78.81,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
GGD,31.32,31.31,31.33,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
PNR,59.32,59.31,59.33,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
FSR,30.48,30.47,30.49,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
ATB,60.7,60.69,60.71,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
SPK,52.8,52.79,52.81,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
EEC,47.94,47.93,47.95,50000000.0,50000000.0,0,0,0,0,3,2026-02-03 08:01:01.939930
TGX,43.72,43.71,43.73,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
PHR,48.13,48.12,48.14,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
BYL,43.47,43.46,43.48,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
CLD,79.03,79.02,79.04,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
GGD,31.28,31.27,31.29,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
PNR,58.83,58.82,58.84,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
FSR,30.48,30.47,30.49,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
ATB,59.84,59.83,59.85,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
SPK,52.54,52.53,52.55,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
EEC,47.52,47.51,47.53,50000000.0,50000000.0,0,0,0,0,4,2026-02-03 08:01:02.974249
TGX,43.77,43.76,43.78,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
PHR,47.96,47.95,47.97,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
BYL,43.42,43.41,43.43,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
CLD,78.92,78.91,78.93,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
GGD,31.31,31.3,31.32,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
PNR,58.9,58.89,58.91,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
FSR,30.5,30.49,30.51,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
ATB,59.51,59.5,59.52,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
SPK,52.6,52.59,52.61,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
EEC,47.58,47.57,47.59,50000000.0,50000000.0,0,0,0,0,5,2026-02-03 08:01:04.010179
TGX,43.76,43.75,43.77,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
PHR,47.56,47.55,47.57,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
BYL,43.45,43.44,43.46,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
CLD,78.96,78.95,78.97,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
GGD,31.37,31.36,31.38,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
PNR,59.29,59.28,59.3,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
FSR,30.37,30.36,30.38,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
ATB,59.76,59.75,59.77,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
SPK,52.64,52.63,52.65,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
EEC,47.68,47.67,47.69,50000000.0,50000000.0,0,0,0,0,6,2026-02-03 08:01:05.042995
TGX,43.77,43.76,43.78,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
PHR,47.73,47.72,47.74,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
BYL,43.35,43.34,43.36,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
CLD,78.89,78.88,78.9,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
GGD,31.31,31.3,31.32,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
PNR,59.12,59.11,59.13,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
FSR,30.4,30.39,30.41,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
ATB,60.07,60.06,60.08,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
SPK,52.68,52.67,52.69,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
EEC,47.72,47.71,47.73,50000000.0,50000000.0,0,0,0,0,7,2026-02-03 08:01:06.076173
TGX,43.78,43.77,43.79,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
PHR,47.82,47.81,47.83,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
BYL,43.37,43.36,43.38,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
CLD,78.78,78.77,78.79,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
GGD,31.36,31.35,31.37,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
PNR,59.45,59.44,59.46,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
FSR,30.31,30.3,30.32,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
ATB,60.52,60.51,60.53,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
SPK,52.61,52.6,52.62,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
EEC,47.54,47.53,47.55,50000000.0,50000000.0,0,0,0,0,8,2026-02-03 08:01:07.111521
TGX,43.73,43.72,43.74,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
PHR,47.89,47.88,47.9,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
BYL,43.49,43.48,43.5,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
CLD,78.93,78.92,78.94,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
GGD,31.31,31.3,31.32,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
PNR,59.34,59.33,59.35,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
FSR,30.37,30.36,30.38,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
ATB,60.26,60.25,60.27,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
SPK,52.76,52.75,52.77,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
EEC,47.82,47.81,47.83,50000000.0,50000000.0,0,0,0,0,9,2026-02-03 08:01:08.148685
TGX,43.73,43.72,43.74,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
PHR,47.73,47.72,47.74,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
BYL,43.66,43.65,43.67,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
CLD,79.21,79.2,79.22,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
GGD,31.32,31.31,31.33,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
PNR,59.15,59.14,59.16,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
FSR,30.28,30.27,30.29,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
ATB,60.4,60.39,60.41,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
SPK,52.83,52.82,52.84,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
EEC,48.0,47.99,48.01,50000000.0,50000000.0,0,0,0,0,10,2026-02-03 08:01:09.184488
TGX,43.8,43.79,43.81,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
PHR,47.74,47.73,47.75,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
BYL,43.69,43.68,43.7,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
CLD,79.27,79.26,79.28,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
GGD,31.29,31.28,31.3,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
PNR,58.92,58.91,58.93,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
FSR,30.22,30.21,30.23,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
ATB,61.02,61.01,61.03,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
SPK,52.92,52.91,52.93,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
EEC,48.17,48.16,48.18,50000000.0,50000000.0,0,0,0,0,11,2026-02-03 08:01:10.223023
TGX,43.78,43.77,43.79,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
PHR,48.27,48.26,48.28,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
BYL,43.71,43.7,43.72,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
CLD,79.4,79.39,79.41,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
GGD,31.24,31.23,31.25,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
PNR,58.69,58.68,58.7,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
FSR,30.19,30.18,30.2,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
ATB,59.96,59.95,59.97,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
SPK,52.96,52.95,52.97,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
EEC,48.24,48.23,48.25,50000000.0,50000000.0,0,0,0,0,12,2026-02-03 08:01:11.256419
TGX,43.76,43.75,43.77,50000000.0,50000000.0,0,0,0,0,13,2026-02-03 08:01:11.791397
