news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_REYK-3,SELL_COLA-4,BUY_UEBR-3,BUY_UOFN-2,BUY_BABS-3,BUY_UEBR-2,SELL_LETH-2,SELL_REYK-4,SELL_REYK-3,BUY_REYK-2,SELL_UOFN-2,SELL_LETH-3,BUY_LETH-2,SELL_REYK-1,SELL_UEBR-4,SELL_UEBR-2,BUY_LETH-3,SELL_UBCT-5,SELL_UEBR-3,BUY_REYK-4,BUY_LETH-4,SELL_BABS-3,BUY_COLA-4,BUY_REYK-1,BUY_UEBR-4,BUY_UBCT-5,SELL_REYK-2,SELL_LETH-4
2.0,1.0,2.0,Week 1,Delta limit and penalty,The delta limit for this sub-heat is 5000 and the penalty percentage is 3%,2,2026-02-12 12:56:27.239917,RTM,50.16,50.15,50.17,100000000.0,100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,2.0,Week 1,Risk free rate and current annualized volatility of RTM,The current risk free rate is 0%. RTM is an ETF that mimics one of the major indices in the simulated world and its current annualized realized volatility is 19%. This simulation consists of 20 trading days that are each 15 ticks in length.,2,2026-02-12 12:56:27.239917,RTM1C45,5.16,5.15,5.17,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-12 12:56:27.239917,RTM1P45,0.02,0.01,0.03,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-12 12:56:27.239917,RTM1C46,4.16,4.15,4.17,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-12 12:56:27.239917,RTM1P46,0.02,0.01,0.03,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-12 12:56:27.239917,RTM1C47,3.18,3.17,3.19,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-12 12:56:27.239917,RTM1P47,0.02,0.01,0.03,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-12 12:56:27.239917,RTM1C48,2.31,2.3,2.32,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-12 12:56:27.239917,RTM1P48,0.16,0.15,0.17,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-12 12:56:27.239917,RTM1C49,1.51,1.5,1.52,1000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
