news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_UEBR-4,BUY_LETH-3,SELL_UEBR-3,BUY_UEBR-2,BUY_LETH-4
2.0,1.0,2.0,Week 1,Delta limit and penalty,The delta limit for this sub-heat is 12000 and the penalty percentage is 2%,3,2026-02-12 12:49:12.052571,RTM,49.57,49.55,49.57,100000000.0,100000000.0,0,0,0,0,0
1.0,1.0,2.0,Week 1,Risk free rate and current annualized volatility of RTM,The current risk free rate is 0%. RTM is an ETF that mimics one of the major indices in the simulated world and its current annualized realized volatility is 22%. This simulation consists of 20 trading days that are each 15 ticks in length.,3,2026-02-12 12:49:12.052571,RTM1C45,4.75,4.73,4.75,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1P45,0.18,0.16,0.18,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1C46,3.99,3.99,4.01,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1P46,0.42,0.42,0.44,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1C47,3.17,3.17,3.19,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1P47,0.63,0.61,0.63,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1C48,2.4,2.4,2.42,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1P48,0.86,0.84,0.86,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1C49,1.86,1.86,1.88,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1P49,1.3,1.3,1.32,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1C50,1.4,1.4,1.42,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1P50,1.83,1.83,1.85,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1C51,0.99,0.99,1.01,1000000.0,1000000.0,0,0,0,0,0
,,,,,,3,2026-02-12 12:49:12.052571,RTM1P51,2.43,2.43,2.45,1000000.0,1000000.0,0,0,0,0,0
