ticker,last_price,bid_price,ask_price,SELL_UOTB-T1,SELL_ANON,BUY_ANON,SELL_UOTB-P,BUY_UOTB-D,SELL_BABS-P,SELL_UOTB-D,BUY_UOTB-P,tick,timestamp
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:12.935533
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:12.935533
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:12.935533
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,6,2026-02-04 17:04:12.935533
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,7,2026-02-04 17:04:14.086873
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.086873
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.086873
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.086873
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.086873
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.086873
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,7,2026-02-04 17:04:14.086873
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,8,2026-02-04 17:04:15.135379
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:15.135379
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:15.135379
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:15.135379
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:15.135379
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:15.135379
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,8,2026-02-04 17:04:15.135379
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,9,2026-02-04 17:04:16.215684
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.215684
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.215684
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.215684
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.215684
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.215684
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,9,2026-02-04 17:04:16.215684
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,10,2026-02-04 17:04:17.282088
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.282088
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.282088
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.282088
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.282088
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.282088
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,10,2026-02-04 17:04:17.282088
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,11,2026-02-04 17:04:18.335024
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.335024
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.335024
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.335024
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.335024
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.335024
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,11,2026-02-04 17:04:18.335024
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,12,2026-02-04 17:04:18.958260
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:18.958260
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:18.958260
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:18.958260
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:18.958260
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:18.958260
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,12,2026-02-04 17:04:18.958260
NG,2.22,2.2,2.24,800000.0,800000.0,0,0,0,0,0,0,13,2026-02-04 17:04:20.113413
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.113413
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.113413
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.113413
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.113413
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.113413
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,13,2026-02-04 17:04:20.113413
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,14,2026-02-04 17:04:21.165130
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.165130
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.165130
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.165130
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.165130
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.165130
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,14,2026-02-04 17:04:21.165130
NG,2.22,2.2,2.24,800000.0,800000.0,0,0,0,0,0,0,15,2026-02-04 17:04:22.199134
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,15,2026-02-04 17:04:22.199134
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,15,2026-02-04 17:04:22.199134
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,15,2026-02-04 17:04:22.199134
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,15,2026-02-04 17:04:22.199134
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,15,2026-02-04 17:04:22.199134
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,15,2026-02-04 17:04:22.199134
NG,2.23,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,16,2026-02-04 17:04:23.245479
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,16,2026-02-04 17:04:23.245479
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,16,2026-02-04 17:04:23.245479
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,16,2026-02-04 17:04:23.245479
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,16,2026-02-04 17:04:23.245479
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,16,2026-02-04 17:04:23.245479
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,16,2026-02-04 17:04:23.245479
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,17,2026-02-04 17:04:24.285733
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,17,2026-02-04 17:04:24.285733
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,17,2026-02-04 17:04:24.285733
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,17,2026-02-04 17:04:24.285733
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,17,2026-02-04 17:04:24.285733
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,17,2026-02-04 17:04:24.285733
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,17,2026-02-04 17:04:24.285733
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,18,2026-02-04 17:04:25.326263
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,18,2026-02-04 17:04:25.326263
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,18,2026-02-04 17:04:25.326263
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,18,2026-02-04 17:04:25.326263
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,18,2026-02-04 17:04:25.326263
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,18,2026-02-04 17:04:25.326263
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,18,2026-02-04 17:04:25.326263
NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,19,2026-02-04 17:04:26.360464
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,19,2026-02-04 17:04:26.360464
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,19,2026-02-04 17:04:26.360464
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,19,2026-02-04 17:04:26.360464
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,19,2026-02-04 17:04:26.360464
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,19,2026-02-04 17:04:26.360464
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,19,2026-02-04 17:04:26.360464
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,20,2026-02-04 17:04:27.397910
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,20,2026-02-04 17:04:27.397910
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,20,2026-02-04 17:04:27.397910
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,20,2026-02-04 17:04:27.397910
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,20,2026-02-04 17:04:27.397910
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,20,2026-02-04 17:04:27.397910
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,20,2026-02-04 17:04:27.397910
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,21,2026-02-04 17:04:28.504361
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,21,2026-02-04 17:04:28.504361
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,21,2026-02-04 17:04:28.504361
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,21,2026-02-04 17:04:28.504361
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,21,2026-02-04 17:04:28.504361
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,21,2026-02-04 17:04:28.504361
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,21,2026-02-04 17:04:28.504361
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,22,2026-02-04 17:04:29.038110
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,22,2026-02-04 17:04:29.038110
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,22,2026-02-04 17:04:29.038110
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,22,2026-02-04 17:04:29.038110
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,22,2026-02-04 17:04:29.038110
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,22,2026-02-04 17:04:29.038110
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,22,2026-02-04 17:04:29.038110
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,23,2026-02-04 17:04:30.143776
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,23,2026-02-04 17:04:30.143776
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,23,2026-02-04 17:04:30.143776
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,23,2026-02-04 17:04:30.143776
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,23,2026-02-04 17:04:30.143776
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,23,2026-02-04 17:04:30.143776
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,23,2026-02-04 17:04:30.143776
NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,24,2026-02-04 17:04:31.184398
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,24,2026-02-04 17:04:31.184398
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,24,2026-02-04 17:04:31.184398
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,24,2026-02-04 17:04:31.184398
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,24,2026-02-04 17:04:31.184398
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,24,2026-02-04 17:04:31.184398
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,24,2026-02-04 17:04:31.184398
NG,2.18,2.16,2.2,800000.0,800000.0,0,0,0,0,0,0,25,2026-02-04 17:04:32.220844
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,25,2026-02-04 17:04:32.220844
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,25,2026-02-04 17:04:32.220844
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,25,2026-02-04 17:04:32.220844
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,25,2026-02-04 17:04:32.220844
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,25,2026-02-04 17:04:32.220844
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,25,2026-02-04 17:04:32.220844
NG,2.18,2.16,2.2,800000.0,800000.0,0,0,0,0,0,0,26,2026-02-04 17:04:33.276687
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,26,2026-02-04 17:04:33.276687
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,26,2026-02-04 17:04:33.276687
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,26,2026-02-04 17:04:33.276687
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,26,2026-02-04 17:04:33.276687
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,26,2026-02-04 17:04:33.276687
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,26,2026-02-04 17:04:33.276687
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,27,2026-02-04 17:04:34.323997
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,27,2026-02-04 17:04:34.323997
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,27,2026-02-04 17:04:34.323997
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,27,2026-02-04 17:04:34.323997
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,27,2026-02-04 17:04:34.323997
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,27,2026-02-04 17:04:34.323997
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,27,2026-02-04 17:04:34.323997
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,28,2026-02-04 17:04:35.361470
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,28,2026-02-04 17:04:35.361470
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,28,2026-02-04 17:04:35.361470
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,28,2026-02-04 17:04:35.361470
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,28,2026-02-04 17:04:35.361470
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,28,2026-02-04 17:04:35.361470
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,28,2026-02-04 17:04:35.361470
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,29,2026-02-04 17:04:36.404332
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,29,2026-02-04 17:04:36.404332
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,29,2026-02-04 17:04:36.404332
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,29,2026-02-04 17:04:36.404332
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,29,2026-02-04 17:04:36.404332
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,29,2026-02-04 17:04:36.404332
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,29,2026-02-04 17:04:36.404332
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,30,2026-02-04 17:04:37.450288
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,30,2026-02-04 17:04:37.450288
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,30,2026-02-04 17:04:37.450288
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,30,2026-02-04 17:04:37.450288
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,30,2026-02-04 17:04:37.450288
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,30,2026-02-04 17:04:37.450288
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,30,2026-02-04 17:04:37.450288
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,31,2026-02-04 17:04:38.578703
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,31,2026-02-04 17:04:38.578703
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,31,2026-02-04 17:04:38.578703
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,31,2026-02-04 17:04:38.578703
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,31,2026-02-04 17:04:38.578703
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,31,2026-02-04 17:04:38.578703
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,31,2026-02-04 17:04:38.578703
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,32,2026-02-04 17:04:39.126414
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,32,2026-02-04 17:04:39.126414
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,32,2026-02-04 17:04:39.126414
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,32,2026-02-04 17:04:39.126414
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,32,2026-02-04 17:04:39.126414
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,32,2026-02-04 17:04:39.126414
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,32,2026-02-04 17:04:39.126414
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,33,2026-02-04 17:04:40.233547
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,33,2026-02-04 17:04:40.233547
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,33,2026-02-04 17:04:40.233547
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,33,2026-02-04 17:04:40.233547
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,33,2026-02-04 17:04:40.233547
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,33,2026-02-04 17:04:40.233547
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,33,2026-02-04 17:04:40.233547
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,34,2026-02-04 17:04:41.313715
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,34,2026-02-04 17:04:41.313715
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,34,2026-02-04 17:04:41.313715
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,34,2026-02-04 17:04:41.313715
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,34,2026-02-04 17:04:41.313715
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,34,2026-02-04 17:04:41.313715
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,34,2026-02-04 17:04:41.313715
NG,2.16,2.14,2.18,800000.0,800000.0,0,0,0,0,0,0,35,2026-02-04 17:04:42.401891
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,35,2026-02-04 17:04:42.401891
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,35,2026-02-04 17:04:42.401891
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,35,2026-02-04 17:04:42.401891
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,35,2026-02-04 17:04:42.401891
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,35,2026-02-04 17:04:42.401891
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,35,2026-02-04 17:04:42.401891
NG,2.17,2.15,2.19,800000.0,800000.0,0,0,0,0,0,0,36,2026-02-04 17:04:43.435626
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,36,2026-02-04 17:04:43.435626
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,36,2026-02-04 17:04:43.435626
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,36,2026-02-04 17:04:43.435626
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,36,2026-02-04 17:04:43.435626
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,36,2026-02-04 17:04:43.435626
