news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-P,SELL_GIOT-P
3.0,1.0,1.0,,You are logged in as a TRADER,,1,2026-02-01 02:10:13.048635,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",1,2026-02-01 02:10:13.048635,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,1,2026-02-01 02:10:13.048635,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,1,2026-02-01 02:10:13.048635,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,1,2026-02-01 02:10:13.048635,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,1,2026-02-01 02:10:13.048635,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,1,2026-02-01 02:10:13.048635,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,2,2026-02-01 02:10:14.083188,NG,2.21,2.19,2.23,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 02:10:14.083188,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 02:10:14.083188,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 02:10:14.083188,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 02:10:14.083188,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 02:10:14.083188,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 02:10:14.083188,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,3,2026-02-01 02:10:15.116573,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 02:10:15.116573,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 02:10:15.116573,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 02:10:15.116573,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 02:10:15.116573,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 02:10:15.116573,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 02:10:15.116573,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,4,2026-02-01 02:10:16.137608,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 02:10:16.137608,ELEC-day2,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 02:10:16.137608,ELEC-day3,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 02:10:16.137608,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 02:10:16.137608,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 02:10:16.137608,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 02:10:16.137608,ELEC-F,0.0,0.0,0.0,,,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,5,2026-02-01 02:10:17.214933,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
