news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_GIOT-P,BUY_LUIS-T2,BUY_LUIS-T1,BUY_GIOT-P,SELL_LUIS-T2,SELL_LUIS-T1
3.0,1.0,1.0,,You are logged in as a TRADER,,1,2026-02-01 07:36:05.184490,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",1,2026-02-01 07:36:05.184490,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,1,2026-02-01 07:36:05.184490,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0
,,,,,,1,2026-02-01 07:36:05.184490,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0
,,,,,,1,2026-02-01 07:36:05.184490,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0
,,,,,,1,2026-02-01 07:36:05.184490,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0
,,,,,,1,2026-02-01 07:36:05.184490,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,2,2026-02-01 07:36:06.223222,NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 07:36:06.223222,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 07:36:06.223222,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0
,,,,,,2,2026-02-01 07:36:06.223222,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0
,,,,,,2,2026-02-01 07:36:06.223222,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0
,,,,,,2,2026-02-01 07:36:06.223222,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0
,,,,,,2,2026-02-01 07:36:06.223222,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,3,2026-02-01 07:36:07.250935,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 07:36:07.250935,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0
