ticker,last_price,bid_price,ask_price,BUY_LUIS-1,BUY_ANON,SELL_ANON,BUY_WRSW-2,SELL_WRSW-1,SELL_COLB-2,SELL_COLA-1,BUY_NAIT-1,BUY_WRSW-1,SELL_BRCH-1,BUY_GIOT-3,SELL_WRSW-3,SELL_UOTB-2,BUY_LAVL-1,SELL_UOTB-1,BUY_UEBR-1,BUY_COLA-3,SELL_LAVL-1,BUY_WRSW-3,BUY_BRCH-1,SELL_UEBR-1,BUY_UOTB-1,SELL_GIOT-3,BUY_UOTB-2,SELL_LUIS-1,BUY_UOTB-3,SELL_COLA-3,BUY_COLB-2,SELL_WRSW-2,BUY_COLA-1,SELL_UOTB-3,SELL_NAIT-1,tick,timestamp
ATMN,25.14,25.01,25.14,1883100.0,2250.0,2082000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 06:39:54.855507
WNTR,25.06,25.07,25.08,1994800.0,,1955400.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 06:39:54.855507
SPNG,24.83,24.83,25.15,1898600.0,2250.0,1581400.0,4500.0,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 06:39:55.929641
SMMR,25.07,24.91,25.07,2319200.0,,2193200.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 06:39:55.929641
ATMN,24.99,24.99,25.06,1793100.0,4500.0,1768400.0,2250.0,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 06:39:55.929641
WNTR,25.08,25.01,25.08,1877500.0,,2000400.0,,,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 06:39:55.929641
SPNG,24.83,24.99,25.15,1601200.0,2640.0,4500.0,1581300.0,6750.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 06:39:56.980941
SMMR,24.89,25.01,25.05,2328400.0,,,2321000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 06:39:56.980941
ATMN,24.95,24.95,25.14,1787500.0,,4500.0,1867200.0,4500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 06:39:56.980941
WNTR,24.95,24.95,25.05,2001100.0,,,1775400.0,,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 06:39:56.980941
SPNG,24.7,24.85,24.94,1985400.0,3820.0,1414200.0,9000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 06:39:58.036750
SMMR,25.01,25.01,25.05,2107300.0,5000.0,2068000.0,,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 06:39:58.036750
ATMN,24.95,24.94,24.95,1989800.0,,1895900.0,4500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 06:39:58.036750
WNTR,24.93,24.93,24.99,2007900.0,5000.0,1785900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 06:39:58.036750
SPNG,24.7,24.86,24.94,2250.0,1909800.0,3820.0,1314400.0,11250.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 06:39:58.582525
SMMR,25.05,24.97,25.05,,2337300.0,5000.0,2052300.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 06:39:58.582525
ATMN,24.95,24.94,24.95,,1824900.0,2640.0,1675300.0,4500.0,2640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 06:39:58.582525
WNTR,24.92,24.92,24.99,,2008500.0,5000.0,1784700.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 06:39:58.582525
SPNG,25.19,24.98,25.17,1320.0,1896000.0,4500.0,1711900.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 06:39:59.630874
SMMR,25.08,24.88,25.08,,2337600.0,,2183900.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 06:39:59.630874
ATMN,25.13,24.94,25.13,2640.0,1820900.0,4500.0,1906300.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 06:39:59.630874
WNTR,24.84,24.84,24.99,,1979600.0,,1679000.0,7500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 06:39:59.630874
SPNG,25.42,24.92,25.42,1979200.0,1905000.0,2250.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 06:40:00.736610
SMMR,24.94,24.89,24.93,2110500.0,2183900.0,,2640.0,1320.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 06:40:00.736610
ATMN,25.13,24.94,25.13,1717900.0,1832400.0,6750.0,2640.0,,2250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 06:40:00.736610
WNTR,24.83,24.86,24.99,1973700.0,1701900.0,,,7500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 06:40:00.736610
SPNG,24.8,24.8,25.07,2004200.0,1822600.0,4500.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 06:40:01.846796
SMMR,25.09,24.94,25.09,2109800.0,2087600.0,,2640.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 06:40:01.846796
ATMN,24.87,24.85,24.87,1722100.0,1519600.0,9000.0,1320.0,4500.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 06:40:01.846796
WNTR,24.83,24.86,24.88,2018800.0,1811700.0,,,,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 06:40:01.846796
SPNG,25.07,24.89,24.93,3840.0,1706900.0,2250.0,3840.0,1540700.0,6750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 06:40:02.913564
SMMR,24.89,24.89,24.97,,2346000.0,,,2331800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 06:40:02.913564
ATMN,25.14,24.69,25.13,,1913400.0,2250.0,,1827200.0,6750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 06:40:02.913564
WNTR,24.83,24.87,24.88,,2030400.0,,5000.0,1811700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 06:40:02.913564
SPNG,24.8,24.8,25.28,1928800.0,2250.0,1610700.0,9000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 06:40:03.977454
SMMR,25.1,24.95,24.99,2102300.0,,2090100.0,,3772.0,1886.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 06:40:03.977454
ATMN,24.68,24.69,24.73,1932400.0,2250.0,1700200.0,9000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 06:40:03.977454
WNTR,24.99,24.9,24.99,2011100.0,,1791500.0,,,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 06:40:03.977454
SPNG,25.28,24.97,25.01,3840.0,1598200.0,4500.0,1920.0,1428700.0,11250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 06:40:05.031001
SMMR,24.9,24.9,24.99,,2352800.0,,1886.0,2090100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 06:40:05.031001
ATMN,25.15,24.68,25.15,,2040900.0,,,1906800.0,4500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 06:40:05.031001
WNTR,24.99,24.9,24.99,,1997100.0,,5000.0,1791500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 06:40:05.031001
SPNG,25.28,24.97,25.01,3840.0,1445700.0,6750.0,3840.0,1208900.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 06:40:06.077768
SMMR,24.89,24.89,25.0,,2323200.0,,4134.0,1991600.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 06:40:06.077768
ATMN,24.68,24.68,24.79,,1951500.0,2250.0,,1818000.0,6750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 06:40:06.077768
WNTR,24.87,24.87,24.95,,2029600.0,,5000.0,1818100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 06:40:06.077768
SPNG,24.83,24.89,25.01,1720300.0,6750.0,1920.0,1208900.0,15750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 06:40:07.121429
SMMR,25.1,24.98,25.1,2308700.0,,,1887800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 06:40:07.121429
ATMN,24.54,24.55,24.74,1975900.0,2250.0,3798.0,1500100.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 06:40:07.121429
WNTR,24.87,24.87,24.95,2048400.0,,5000.0,1818100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 06:40:07.121429
SPNG,24.89,24.89,25.01,1726500.0,6750.0,1920.0,1208900.0,15750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 06:40:07.667372
SMMR,24.98,24.98,25.04,2283100.0,,,1993300.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 06:40:07.667372
ATMN,25.16,24.55,25.16,1975900.0,2250.0,,2107900.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 06:40:07.667372
WNTR,24.86,24.86,24.95,2024700.0,,5000.0,1818100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 06:40:07.667372
SPNG,25.19,24.9,25.14,9000.0,1609900.0,1209200.0,18000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 06:40:08.718848
SMMR,25.04,24.98,25.04,,2283100.0,1993300.0,,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 06:40:08.718848
ATMN,24.62,24.55,24.62,4500.0,1871300.0,1794800.0,2250.0,4406.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 06:40:08.718848
WNTR,24.94,24.94,24.95,,2060500.0,1800100.0,,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 06:40:08.718848
SPNG,25.14,25.17,25.23,1546000.0,11250.0,4128.0,912000.0,20250.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 06:40:09.792381
SMMR,25.02,25.02,25.04,2061400.0,,2500.0,1993300.0,,2640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 06:40:09.792381
ATMN,24.85,24.88,25.14,1813700.0,6750.0,,2085300.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 06:40:09.792381
WNTR,24.95,24.95,24.99,2073200.0,,5000.0,1797900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 06:40:09.792381
SPNG,25.02,25.02,25.23,1546200.0,11250.0,2064.0,945200.0,22500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 06:40:10.878878
SMMR,25.17,25.02,25.17,2065200.0,,,1752500.0,,2640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 06:40:10.878878
ATMN,24.82,24.83,24.99,1715800.0,9000.0,3558.0,1879400.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 06:40:10.878878
WNTR,24.95,24.86,24.9,2077700.0,,5000.0,1790900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 06:40:10.878878
SPNG,24.86,24.86,25.07,1732500.0,6750.0,4584.0,716700.0,22500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 06:40:11.949085
SMMR,25.16,25.06,25.16,1935800.0,,,1968200.0,,6292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 06:40:11.949085
ATMN,24.82,24.65,24.79,1688400.0,9000.0,3558.0,1889600.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 06:40:11.949085
WNTR,24.95,24.86,24.87,2077700.0,,5000.0,1807200.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 06:40:11.949085
SPNG,24.83,24.83,25.16,2032600.0,951700.0,24750.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 06:40:13.069148
SMMR,25.17,25.06,25.17,1935800.0,2058100.0,,6292.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 06:40:13.069148
ATMN,24.87,24.67,24.87,1399500.0,1973600.0,,3964.0,11250.0,1779.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 06:40:13.069148
WNTR,24.87,24.86,24.87,2077700.0,1815500.0,,,,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 06:40:13.069148
SPNG,25.14,24.83,25.13,2016500.0,22500.0,830400.0,4346.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 06:40:14.132398
SMMR,25.18,25.15,25.18,1834900.0,,2179600.0,1293.0,6392.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 06:40:14.132398
ATMN,24.64,24.64,24.86,1791400.0,2250.0,1915900.0,1779.0,,6750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 06:40:14.132398
WNTR,24.9,24.86,24.88,2077700.0,,1861100.0,5000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 06:40:14.132398
SPNG,25.14,24.83,24.95,2037700.0,937800.0,20250.0,4346.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 06:40:14.679464
SMMR,24.9,24.9,25.12,2298800.0,2049300.0,,2586.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 06:40:14.679464
ATMN,24.54,24.66,24.86,1978800.0,1798000.0,2250.0,3761.0,1982.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 06:40:14.679464
WNTR,24.86,24.86,24.88,2055000.0,1861100.0,,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 06:40:14.679464
SPNG,24.95,24.83,24.95,2027800.0,1035900.0,20250.0,2173.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 06:40:15.729179
SMMR,24.9,25.02,25.05,2067000.0,2049400.0,,2586.0,4424.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 06:40:15.729179
ATMN,24.54,24.54,24.86,2087300.0,1774600.0,4500.0,1779.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 06:40:15.729179
WNTR,24.85,24.85,24.88,2068700.0,1855100.0,,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 06:40:15.729179
SPNG,24.83,24.83,24.95,2001800.0,1151400.0,18000.0,2173.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-05 06:40:16.797130
SMMR,24.99,24.99,25.12,2329500.0,2133000.0,,1293.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-05 06:40:16.797130
ATMN,24.86,24.86,24.87,1833100.0,2018300.0,,1779.0,3014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-05 06:40:16.797130
WNTR,24.84,24.84,24.88,2057100.0,1886700.0,,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-05 06:40:16.797130
SPNG,25.16,24.83,25.16,1735.0,1908000.0,1459500.0,2173.0,11250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-05 06:40:17.845683
SMMR,24.99,25.03,25.06,2212.0,2193200.0,2174600.0,1293.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-05 06:40:17.845683
ATMN,24.51,24.51,24.69,,2079200.0,1978100.0,1779.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-05 06:40:17.845683
WNTR,24.83,24.83,24.9,,2036500.0,1891800.0,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-05 06:40:17.845683
SPNG,24.74,24.74,25.15,1896600.0,2250.0,13500.0,1374700.0,2173.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-05 06:40:18.895186
SMMR,25.04,25.04,25.06,2081400.0,,,2161900.0,1293.0,4424.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-05 06:40:18.895186
ATMN,24.87,24.65,24.69,1753500.0,2250.0,2250.0,1667800.0,6467.0,4688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-05 06:40:18.895186
WNTR,24.83,24.83,24.85,2044600.0,,,1862800.0,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-05 06:40:18.895186
SPNG,25.18,24.94,25.14,3470.0,1712700.0,2250.0,1385100.0,2173.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-05 06:40:19.949913
SMMR,24.89,25.05,25.06,1765.0,2191300.0,,2119200.0,1293.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-05 06:40:19.949913
ATMN,24.87,24.65,24.67,4688.0,1659200.0,4500.0,1546000.0,6467.0,4500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-05 06:40:19.949913
