ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-1,BUY_LUIS-1,tick,timestamp
SPNG,0.0,0.0,0.0,2028700.0,1960700.0,0,0,0,2026-02-04 11:44:39.625790
SMMR,0.0,0.0,0.0,1814100.0,2204400.0,0,0,0,2026-02-04 11:44:39.625790
ATMN,0.0,0.0,0.0,2176300.0,1935400.0,0,0,0,2026-02-04 11:44:39.625790
WNTR,0.0,24.91,0.0,1767000.0,1991100.0,0,0,0,2026-02-04 11:44:39.625790
SPNG,25.16,24.8,25.15,1847200.0,5250.0,2625.0,1871800.0,1,2026-02-04 11:44:40.595207,2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.
SMMR,25.03,24.97,25.03,1592700.0,,,2204400.0,1,2026-02-04 11:44:40.595207,1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,
ATMN,24.88,24.88,25.08,2071400.0,2625.0,5250.0,1979500.0,1,2026-02-04 11:44:40.595207,,,,,,
WNTR,24.91,24.91,25.03,1873600.0,,,2030100.0,1,2026-02-04 11:44:40.595207,,,,,,
SPNG,24.75,25.02,25.15,1924600.0,2625.0,5250.0,1871800.0,2,2026-02-04 11:44:41.650573
SMMR,25.05,24.95,25.05,1592700.0,,,2184500.0,2,2026-02-04 11:44:41.650573
ATMN,25.09,24.88,25.08,1955800.0,5250.0,2625.0,2078000.0,2,2026-02-04 11:44:41.650573
WNTR,25.04,24.91,25.04,1873600.0,,,2021000.0,2,2026-02-04 11:44:41.650573
SPNG,24.86,24.76,24.86,7875.0,1736300.0,1700100.0,13125.0,3,2026-02-04 11:44:42.486793
SMMR,24.93,24.93,25.05,,1593700.0,2183400.0,,3,2026-02-04 11:44:42.486793
ATMN,25.31,24.89,25.3,10500.0,1720100.0,2042600.0,2625.0,3,2026-02-04 11:44:42.486793
WNTR,25.04,24.9,25.04,,1774100.0,2025800.0,,3,2026-02-04 11:44:42.486793
SPNG,24.86,24.84,24.86,1635600.0,10500.0,1579600.0,15750.0,4,2026-02-04 11:44:43.453661
SMMR,25.05,25.19,25.21,1598400.0,,2158200.0,,4,2026-02-04 11:44:43.453661
ATMN,25.31,24.89,24.96,1500200.0,15750.0,2058300.0,2625.0,4,2026-02-04 11:44:43.453661
WNTR,25.05,24.88,25.05,1659800.0,,2035700.0,,4,2026-02-04 11:44:43.453661
SPNG,25.27,24.89,25.27,1414900.0,15750.0,1755300.0,0,5,2026-02-04 11:44:44.510766
SMMR,25.19,25.19,25.21,1598400.0,,2187800.0,0,5,2026-02-04 11:44:44.510766
ATMN,24.96,24.89,24.92,1512800.0,15750.0,2170100.0,0,5,2026-02-04 11:44:44.510766
WNTR,25.08,24.88,24.98,1659800.0,,2015800.0,0,5,2026-02-04 11:44:44.510766
SPNG,25.27,24.9,25.27,18375.0,1324300.0,1874100.0,0,6,2026-02-04 11:44:45.112178
SMMR,25.19,25.19,25.21,500.0,1598400.0,2219200.0,0,6,2026-02-04 11:44:45.112178
ATMN,24.92,24.89,24.92,18375.0,1401500.0,2170100.0,0,6,2026-02-04 11:44:45.112178
WNTR,24.84,24.84,24.98,500.0,1727700.0,2015800.0,0,6,2026-02-04 11:44:45.112178
SPNG,25.1,24.94,25.1,20000.0,21000.0,1017600.0,2206600.0,0,7,2026-02-04 11:44:46.718966
SMMR,25.21,24.92,25.21,,,1461500.0,2219200.0,0,7,2026-02-04 11:44:46.718966
ATMN,24.88,24.88,25.2,,,2191700.0,2115500.0,0,7,2026-02-04 11:44:46.718966
WNTR,24.95,25.04,25.09,,1500.0,1751200.0,2067200.0,0,7,2026-02-04 11:44:46.718966
SPNG,25.1,25.25,25.27,1625900.0,10500.0,2081100.0,,0,8,2026-02-04 11:44:47.730662
SMMR,25.21,24.84,25.21,1277000.0,,2126000.0,1500.0,0,8,2026-02-04 11:44:47.730662
ATMN,24.89,24.88,24.89,2191100.0,,2013400.0,2625.0,0,8,2026-02-04 11:44:47.730662
WNTR,25.08,25.04,25.08,1841300.0,1000.0,2075100.0,,0,8,2026-02-04 11:44:47.730662
SPNG,25.1,25.25,25.26,1535300.0,13125.0,2625.0,2031000.0,0,9,2026-02-04 11:44:48.362087
SMMR,25.03,25.06,25.21,1407300.0,,1500.0,2146800.0,0,9,2026-02-04 11:44:48.362087
ATMN,24.89,24.88,24.89,2189400.0,,2625.0,2013400.0,0,9,2026-02-04 11:44:48.362087
WNTR,25.04,24.89,24.96,1727700.0,,500.0,2005800.0,0,9,2026-02-04 11:44:48.362087
SPNG,25.27,24.9,25.27,15750.0,1442500.0,2157800.0,,0,10,2026-02-04 11:44:49.143753
SMMR,25.06,24.84,25.02,,1277000.0,2158000.0,1500.0,0,10,2026-02-04 11:44:49.143753
ATMN,24.89,24.88,24.89,,2211300.0,1785100.0,7875.0,0,10,2026-02-04 11:44:49.143753
WNTR,25.01,24.89,25.01,,1843800.0,2009600.0,500.0,0,10,2026-02-04 11:44:49.143753
SPNG,24.89,25.0,25.22,20000.0,1561600.0,7875.0,20000.0,5250.0,1765300.0,11,2026-02-04 11:44:50.444922
SMMR,24.98,24.98,25.02,5000.0,1490300.0,,,1500.0,2158000.0,11,2026-02-04 11:44:50.444922
ATMN,24.89,25.06,25.3,,2199600.0,,,13125.0,1556700.0,11,2026-02-04 11:44:50.444922
WNTR,25.05,24.94,25.05,,1928000.0,,,,2141300.0,11,2026-02-04 11:44:50.444922
SPNG,24.71,25.0,25.25,2031900.0,2144700.0,,0,0,0,12,2026-02-04 11:44:51.537357
SMMR,24.98,24.84,24.91,1506700.0,2114600.0,1500.0,0,0,0,12,2026-02-04 11:44:51.537357
ATMN,24.97,24.92,24.94,2221100.0,1263400.0,21000.0,0,0,0,12,2026-02-04 11:44:51.537357
WNTR,25.05,24.97,25.03,2089700.0,1839600.0,1500.0,0,0,0,12,2026-02-04 11:44:51.537357
SPNG,25.27,25.22,25.27,1654400.0,20000.0,5250.0,2025900.0,2625.0,0,14,2026-02-04 11:44:53.429077
SMMR,24.84,24.84,24.95,1514700.0,,,2017200.0,2000.0,0,14,2026-02-04 11:44:53.429077
ATMN,25.09,24.94,25.08,2207300.0,,,1383300.0,18375.0,0,14,2026-02-04 11:44:53.429077
WNTR,24.97,24.97,25.07,1985600.0,,2000.0,2100600.0,,0,14,2026-02-04 11:44:53.429077
SPNG,25.22,25.22,25.27,1750600.0,7875.0,1953600.0,5250.0,0,0,15,2026-02-04 11:44:54.736713
SMMR,24.88,24.84,24.88,1514700.0,1000.0,2261100.0,,0,0,15,2026-02-04 11:44:54.736713
ATMN,25.09,24.97,25.08,2035400.0,2625.0,1369300.0,18375.0,0,0,15,2026-02-04 11:44:54.736713
WNTR,25.07,25.06,25.07,1870500.0,4000.0,2100600.0,,0,0,15,2026-02-04 11:44:54.736713
SPNG,25.18,25.11,25.18,1628300.0,10500.0,1821700.0,7875.0,0,0,16,2026-02-04 11:44:55.924637
SMMR,24.82,24.82,24.98,1382300.0,,2252800.0,,0,0,16,2026-02-04 11:44:55.924637
ATMN,24.97,24.97,25.32,1915500.0,5250.0,1549900.0,13125.0,0,0,16,2026-02-04 11:44:55.924637
WNTR,25.13,24.97,25.13,1974100.0,2000.0,2091800.0,,0,0,16,2026-02-04 11:44:55.924637
SPNG,25.18,25.11,25.18,1306400.0,10000.0,15750.0,1572900.0,10000.0,10500.0,17,2026-02-04 11:44:56.594079
SMMR,24.82,24.82,24.99,1382300.0,,,2252100.0,,,17,2026-02-04 11:44:56.594079
ATMN,24.94,25.27,25.32,2060700.0,,2625.0,1452600.0,,15750.0,17,2026-02-04 11:44:56.594079
WNTR,25.13,24.97,24.99,1967400.0,,2000.0,2075800.0,,,17,2026-02-04 11:44:56.594079
SPNG,25.09,24.72,25.05,13125.0,1539300.0,1491400.0,15750.0,,0,18,2026-02-04 11:44:57.514058
SMMR,24.99,24.91,24.99,,1591600.0,2252100.0,,,0,18,2026-02-04 11:44:57.514058
ATMN,24.94,25.27,25.28,,2172300.0,1278000.0,18375.0,10000.0,0,18,2026-02-04 11:44:57.514058
WNTR,25.13,24.97,25.1,2000.0,1980800.0,2106400.0,,,0,18,2026-02-04 11:44:57.514058
SPNG,25.23,25.23,25.26,1332800.0,18375.0,10500.0,1695500.0,,0,19,2026-02-04 11:44:58.643072
SMMR,24.99,24.94,24.99,1698600.0,,,2254300.0,,0,19,2026-02-04 11:44:58.643072
ATMN,25.27,25.27,25.28,2172300.0,,18375.0,1274500.0,10000.0,0,19,2026-02-04 11:44:58.643072
WNTR,25.1,24.94,25.1,2065900.0,,,2106400.0,,0,19,2026-02-04 11:44:58.643072
SPNG,25.23,25.23,25.26,1332800.0,18375.0,13125.0,1581600.0,,0,20,2026-02-04 11:44:59.477114
SMMR,24.94,24.94,24.99,1698600.0,,,2230100.0,,0,20,2026-02-04 11:44:59.477114
ATMN,24.92,24.92,25.28,2208500.0,,18375.0,1286300.0,10000.0,0,20,2026-02-04 11:44:59.477114
WNTR,25.1,25.08,25.1,2082200.0,,2000.0,2006200.0,,0,20,2026-02-04 11:44:59.477114
SPNG,24.71,24.71,25.26,1751600.0,7875.0,15750.0,1479000.0,0,0,21,2026-02-04 11:45:00.093983
SMMR,24.91,24.82,24.87,1599800.0,,,2229800.0,0,0,21,2026-02-04 11:45:00.093983
ATMN,25.29,24.93,25.28,2208700.0,,5250.0,1906400.0,0,0,21,2026-02-04 11:45:00.093983
WNTR,25.1,25.08,25.1,2084000.0,,2000.0,2010700.0,0,0,21,2026-02-04 11:45:00.093983
SPNG,25.27,24.82,25.26,2068200.0,13125.0,1622500.0,,0,0,22,2026-02-04 11:45:01.334285
SMMR,24.87,24.9,24.93,1612100.0,,2195200.0,,0,0,22,2026-02-04 11:45:01.334285
ATMN,24.94,24.94,25.33,1979700.0,,2067700.0,5250.0,0,0,22,2026-02-04 11:45:01.334285
WNTR,25.15,25.08,25.15,2081000.0,,2051500.0,,0,0,22,2026-02-04 11:45:01.334285
