news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-1,BUY_LUIS-1,SELL_COLA-6,BUY_COLA-6
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,1,2026-02-01 08:13:25.224476,SPNG,25.19,25.02,25.19,2370600.0,1793900.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 08:13:25.224476,SMMR,24.85,24.85,24.89,2228300.0,2225900.0,0,0,0,0
,,,,,,1,2026-02-01 08:13:25.224476,ATMN,25.15,24.79,25.15,2093900.0,1778300.0,0,0,0,0
,,,,,,1,2026-02-01 08:13:25.224476,WNTR,25.08,24.88,25.08,2264500.0,1913300.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,2,2026-02-01 08:13:26.259250,SPNG,25.25,24.74,25.12,2363300.0,1899700.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 08:13:26.259250,SMMR,24.85,24.85,24.89,2280200.0,2225900.0,0,0,0,0
,,,,,,2,2026-02-01 08:13:26.259250,ATMN,24.75,24.75,25.19,2088400.0,1680900.0,0,0,0,0
,,,,,,2,2026-02-01 08:13:26.259250,WNTR,25.08,24.97,25.05,2288900.0,2031300.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,3,2026-02-01 08:13:27.298575,SPNG,25.32,24.74,25.32,2354100.0,1775900.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 08:13:27.298575,SMMR,24.85,24.88,24.89,2277400.0,2225900.0,0,0,0,0
,,,,,,3,2026-02-01 08:13:27.298575,ATMN,24.66,24.66,25.19,2045300.0,1765900.0,0,0,0,0
,,,,,,3,2026-02-01 08:13:27.298575,WNTR,24.97,24.97,25.05,2290000.0,2129500.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,4,2026-02-01 08:13:28.334461,SPNG,24.74,24.71,24.74,2342300.0,1881900.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 08:13:28.334461,SMMR,24.88,24.88,25.07,2277400.0,1995700.0,0,0,0,0
,,,,,,4,2026-02-01 08:13:28.334461,ATMN,24.66,24.66,24.8,2040000.0,1868900.0,0,0,0,0
,,,,,,4,2026-02-01 08:13:28.334461,WNTR,24.94,24.88,24.94,2309800.0,2268500.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,5,2026-02-01 08:13:29.363901,SPNG,24.74,24.86,25.32,2375200.0,1775900.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 08:13:29.363901,SMMR,24.85,24.85,25.07,2294500.0,1995700.0,0,0,0,0
,,,,,,5,2026-02-01 08:13:29.363901,ATMN,24.8,25.14,25.19,2074500.0,1993300.0,0,0,0,0
,,,,,,5,2026-02-01 08:13:29.363901,WNTR,24.94,24.96,25.05,2319800.0,2129500.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,6,2026-02-01 08:13:30.419638,SPNG,24.74,24.86,25.32,2355800.0,1853400.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 08:13:30.419638,SMMR,24.84,24.84,25.07,2256300.0,1995700.0,0,0,0,0
,,,,,,6,2026-02-01 08:13:30.419638,ATMN,25.14,24.79,25.03,2072300.0,2072300.0,0,0,0,0
,,,,,,6,2026-02-01 08:13:30.419638,WNTR,25.14,24.96,25.0,2319800.0,2000900.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 14000 shares for this week.,7,2026-02-01 08:13:31.441580,SPNG,24.71,24.71,25.62,2337700.0,1839400.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,7,2026-02-01 08:13:31.441580,SMMR,25.07,24.9,25.07,2278600.0,1902200.0,0,0,0,0
,,,,,,7,2026-02-01 08:13:31.441580,ATMN,24.96,24.96,25.03,2058500.0,2072300.0,0,0,0,0
,,,,,,7,2026-02-01 08:13:31.441580,WNTR,25.0,25.03,25.05,2345100.0,1984800.0,0,0,0,0
