ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-3,SELL_WRSW-3,BUY_LUIS-1,SELL_UOTB-2,SELL_BRCH-3,BUY_LAVL-1,BUY_BRCH-3,BUY_UEBR-1,SELL_BABS-4,BUY_UOTB-1,BUY_UOTB-2,SELL_LUIS-1,SELL_COLA-3,BUY_COLA-1,SELL_UOTB-3,SELL_NAIT-1,BUY_WRSW-2,SELL_WRSW-1,BUY_CNCD-5,SELL_COLB-2,SELL_COLA-1,BUY_NAIT-1,BUY_WRSW-1,SELL_BRCH-1,BUY_BRCH-2,SELL_UOTB-1,BUY_COLA-3,SELL_LAVL-1,BUY_WRSW-3,BUY_BRCH-1,SELL_UEBR-1,SELL_GIOT-3,BUY_UOTB-3,BUY_BABS-4,BUY_CAMN-1,SELL_CNCD-5,BUY_COLB-2,SELL_WRSW-2,SELL_CAMN-1,SELL_BRCH-2,tick,timestamp
ATMN,25.24,25.24,25.27,1971800.0,2032100.0,3500.0,1750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 20:10:53.150353
WNTR,25.02,25.02,25.12,2194800.0,1987800.0,,1750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 20:10:53.150353
SPNG,25.01,24.99,25.0,1750.0,3000.0,1838900.0,3000.0,1909700.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 20:10:53.698675
SMMR,25.03,24.94,25.03,1750.0,,2058500.0,,2144000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 20:10:53.698675
ATMN,25.23,24.57,24.88,,,1863100.0,,2007800.0,1750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 20:10:53.698675
WNTR,25.09,25.09,25.12,,,2200500.0,,1987800.0,1750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 20:10:53.698675
SPNG,25.16,24.99,25.01,1750.0,500.0,6000.0,1652300.0,1750.0,1917100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 20:10:54.760694
SMMR,25.03,24.94,25.03,1750.0,500.0,,2061400.0,,2028000.0,500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 20:10:54.760694
ATMN,25.23,24.72,24.87,,500.0,4500.0,1736300.0,1750.0,1703000.0,500.0,4500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 20:10:54.760694
WNTR,25.09,25.05,25.06,,500.0,,2077100.0,1750.0,1903200.0,500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 20:10:54.760694
SPNG,25.16,24.99,25.16,2625.0,450.0,3000.0,1717600.0,1795400.0,3000.0,450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 20:10:55.823458
SMMR,25.07,24.94,25.07,,500.0,,2175300.0,2114600.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 20:10:55.823458
ATMN,24.57,24.57,25.26,,,2250.0,1966400.0,2012000.0,2250.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 20:10:55.823458
WNTR,25.04,25.02,25.04,2625.0,,,2062100.0,2024200.0,,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 20:10:55.823458
SPNG,25.04,25.02,25.05,450.0,6000.0,1755800.0,1806400.0,450.0,3000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 20:10:56.942314
SMMR,25.08,25.08,25.1,450.0,,2173700.0,2116600.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 20:10:56.942314
ATMN,24.67,24.58,24.67,500.0,4500.0,1714800.0,1809200.0,500.0,4500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 20:10:56.942314
WNTR,25.11,25.11,25.12,450.0,,1955300.0,2097600.0,,,1656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 20:10:56.942314
SPNG,25.05,24.86,25.01,3000.0,1818700.0,148.0,1614100.0,1656.0,148.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 20:10:57.984944
SMMR,25.1,25.08,25.1,,2072400.0,108.0,1940500.0,1383.0,108.0,,1656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 20:10:57.984944
ATMN,25.21,24.57,25.14,6750.0,1510600.0,500.0,1801200.0,,,6750.0,1656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 20:10:57.984944
WNTR,25.09,25.09,25.12,,2051500.0,,1906600.0,1383.0,495.0,,1656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 20:10:57.984944
SPNG,24.85,24.86,25.0,148.0,1933500.0,9000.0,148.0,1590300.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 20:10:59.121272
SMMR,25.1,25.08,25.09,108.0,2173700.0,,108.0,2080200.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 20:10:59.121272
ATMN,25.14,25.14,25.16,135.0,1389400.0,11250.0,135.0,1482800.0,11250.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 20:10:59.121272
WNTR,25.06,25.06,25.12,,2138700.0,,,2028300.0,,8500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 20:10:59.121272
SPNG,25.16,24.89,25.16,200.0,12500.0,148.0,1255600.0,1984700.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 20:11:00.192899
SMMR,25.07,24.94,25.03,3564.0,,,2175300.0,1886000.0,15338.0,108.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 20:11:00.192899
ATMN,24.57,25.15,25.16,1551.0,,135.0,1301200.0,1119300.0,10171.0,135.0,11250.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 20:11:00.192899
WNTR,25.06,25.06,25.1,3997.0,,133.0,1951800.0,1835100.0,16972.0,133.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 20:11:00.192899
SPNG,25.18,24.89,25.18,200.0,144.0,1755000.0,1994500.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 20:11:00.762445
SMMR,25.07,25.08,25.09,3564.0,,2182400.0,1970700.0,8216.0,108.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 20:11:00.762445
ATMN,25.12,24.57,25.1,,,1510600.0,1072100.0,10171.0,135.0,11250.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 20:11:00.762445
WNTR,25.06,25.02,25.05,,,2160300.0,1864300.0,16972.0,133.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 20:11:00.762445
SPNG,24.84,24.8,24.84,1723900.0,5000.0,144.0,1159000.0,15000.0,144.0,100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 20:11:01.836357
SMMR,24.88,24.88,24.98,2190000.0,,,1961300.0,,,8316.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 20:11:01.836357
ATMN,24.51,24.51,25.03,2091600.0,,,893000.0,,143.0,10271.0,15750.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 20:11:01.836357
WNTR,25.06,25.02,25.04,1949100.0,,129.0,1777000.0,,129.0,25826.0,,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 20:11:01.836357
SPNG,24.83,24.81,24.83,6000.0,100.0,10000.0,139.0,1215000.0,2315.0,500.0,139.0,3000.0,1580100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 20:11:02.984302
SMMR,25.09,24.9,24.96,,7796.0,,114.0,1945200.0,7311.0,,114.0,,1970700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 20:11:02.984302
ATMN,25.03,24.51,24.52,,3207.0,,147.0,1703700.0,,,147.0,15750.0,1198100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 20:11:02.984302
WNTR,25.05,25.0,25.02,,174.0,,,2048400.0,10000.0,,,,2101900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 20:11:02.984302
SPNG,24.84,24.84,25.19,305200.0,27500.0,135.0,9000.0,200.0,1869700.0,135.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 20:11:04.044357
SMMR,25.0,25.05,25.08,1812900.0,,114.0,,13475.0,2082800.0,,5679.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 20:11:04.044357
ATMN,24.52,24.51,24.52,1647300.0,,147.0,,8034.0,1103100.0,147.0,6214.0,15750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 20:11:04.044357
WNTR,25.05,25.0,25.01,1977500.0,,125.0,,174.0,1898800.0,125.0,18032.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 20:11:04.044357
SPNG,24.8,24.9,25.19,8400.0,135.0,1835000.0,1663200.0,135.0,16800.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 20:11:05.081323
SMMR,25.1,24.93,25.1,,,2136200.0,2078900.0,111.0,,1632.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 20:11:05.081323
ATMN,24.45,24.5,25.09,19200.0,,1845700.0,893200.0,,28800.0,,18000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 20:11:05.081323
WNTR,24.99,25.02,25.05,,,2055200.0,2132500.0,,,7737.0,,7737.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 20:11:05.081323
SPNG,24.69,24.89,24.92,3000.0,143.0,1634300.0,3000.0,143.0,1129400.0,12500.0,3000.0,100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 20:11:06.120145
SMMR,24.87,24.88,25.0,,117.0,1991400.0,,117.0,1853100.0,,,12135.0,7161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 20:11:06.120145
ATMN,24.67,24.63,24.67,,147.0,1845700.0,,147.0,809800.0,,20250.0,7783.0,6741.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 20:11:06.120145
WNTR,25.04,24.99,25.02,,,2175200.0,,125.0,1891200.0,,,15705.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 20:11:06.120145
SPNG,24.69,24.9,24.91,200.0,3000.0,143.0,9000.0,1194700.0,12000.0,100.0,25000.0,362800.0,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 20:11:07.164294
SMMR,24.87,24.87,24.96,7161.0,,,,2112000.0,,12235.0,,1853100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 20:11:07.164294
ATMN,24.66,24.63,24.66,6741.0,,147.0,,1845700.0,22500.0,7892.0,,732800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 20:11:07.164294
WNTR,24.99,24.98,24.99,,,122.0,,2030600.0,,23589.0,,1800600.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 20:11:07.164294
SPNG,24.69,24.9,24.91,200.0,3000.0,143.0,12000.0,1108600.0,12000.0,200.0,25000.0,266000.0,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 20:11:07.757979
SMMR,24.87,24.89,24.96,7161.0,,117.0,,1995900.0,,12235.0,,1768200.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 20:11:07.757979
ATMN,24.66,24.63,24.66,6741.0,,142.0,,1840900.0,20250.0,7892.0,,758600.0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 20:11:07.757979
WNTR,24.96,24.96,24.98,,,,,2128000.0,,,,2106700.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 20:11:07.757979
SPNG,24.69,24.9,24.91,100.0,3000.0,15000.0,1226400.0,15000.0,100.0,25000.0,382600.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 20:11:08.900241
SMMR,24.92,24.89,24.92,,,,2122900.0,,100.0,,1994900.0,117.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 20:11:08.900241
ATMN,24.54,24.63,24.66,,,,2073400.0,22500.0,100.0,,852600.0,,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 20:11:08.900241
WNTR,24.99,24.98,24.99,5991.0,,,1970000.0,,8417.0,,1991200.0,118.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 20:11:08.900241
SPNG,24.72,24.72,24.91,1805900.0,2000.0,3000.0,15000.0,8517.0,143.0,25000.0,184600.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 20:11:09.976754
SMMR,24.92,24.9,24.92,2004100.0,,,,8660.0,117.0,,1888800.0,7161.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 20:11:09.976754
ATMN,24.54,24.64,24.66,1860500.0,,,18000.0,7254.0,147.0,,957400.0,1788.0,147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 20:11:09.976754
WNTR,24.97,24.91,24.93,1952400.0,,,,16551.0,114.0,,1895500.0,3990.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 20:11:09.976754
SPNG,24.93,24.84,24.92,3000.0,13500.0,1226900.0,147.0,3000.0,1168900.0,15000.0,147.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 20:11:11.027102
SMMR,24.99,24.89,24.99,,,2129300.0,117.0,,2183500.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 20:11:11.027102
ATMN,24.63,24.63,24.75,,,1977500.0,142.0,15750.0,1275700.0,,142.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 20:11:11.027102
WNTR,24.88,24.88,24.91,,,2043500.0,,,2010700.0,,114.0,314.0,4505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 20:11:11.027102
SPNG,24.83,24.87,24.92,2500.0,1937100.0,3000.0,147.0,100.0,1688700.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 20:11:12.129377
SMMR,25.05,24.89,25.05,,2141800.0,,,,2172500.0,114.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 20:11:12.129377
ATMN,24.79,24.69,24.79,,1867900.0,18000.0,,404.0,1168100.0,147.0,2250.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 20:11:12.129377
WNTR,24.87,24.89,24.97,,1925400.0,,114.0,,2100700.0,114.0,,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 20:11:12.129377
SPNG,24.83,24.89,24.92,6559.0,24000.0,6000.0,717500.0,6000.0,3709.0,1589800.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 20:11:13.180192
SMMR,24.94,24.89,24.93,,,,2141800.0,,4494.0,1956100.0,114.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 20:11:13.180192
ATMN,24.64,24.52,24.64,,,,2075100.0,13500.0,6447.0,1091800.0,,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 20:11:13.180192
WNTR,25.02,24.99,25.0,3650.0,,,1939100.0,,10000.0,2008200.0,118.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 20:11:13.180192
SPNG,25.1,24.72,24.93,1881600.0,143.0,5000.0,1666900.0,3000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 20:11:14.229899
SMMR,24.89,24.91,25.08,2146700.0,110.0,,1959900.0,,1619.0,110.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 20:11:14.229899
