ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_WRSW-2,SELL_WRSW-1,SELL_COLB-2,SELL_COLA-1,BUY_NAIT-1,BUY_WRSW-1,SELL_BRCH-1,BUY_GIOT-3,SELL_WRSW-3,BUY_LUIS-1,SELL_UOTB-2,BUY_BRCH-2,BUY_LAVL-1,SELL_UOTB-1,BUY_UEBR-1,BUY_COLA-3,SELL_LAVL-1,BUY_WRSW-3,BUY_BRCH-1,SELL_UEBR-1,BUY_UOTB-1,SELL_GIOT-3,BUY_UOTB-2,SELL_LUIS-1,BUY_UOTB-3,SELL_COLA-3,BUY_COLB-2,SELL_WRSW-2,SELL_BRCH-2,BUY_COLA-1,SELL_UOTB-3,SELL_NAIT-1,tick,timestamp
ATMN,25.07,25.34,25.48,2204100.0,2271000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 08:30:11.452524
WNTR,25.17,24.94,25.07,2000500.0,1832600.0,3125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-05 08:30:11.452524
SPNG,25.29,24.78,24.84,2500.0,2119900.0,2500.0,2299400.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 08:30:12.618455
SMMR,25.0,25.01,25.1,2500.0,2060400.0,2500.0,1794700.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 08:30:12.618455
ATMN,25.34,24.89,25.48,,2281600.0,,2268500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 08:30:12.618455
WNTR,25.26,24.97,25.05,,2000500.0,,1627200.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-02-05 08:30:12.618455
SPNG,24.77,24.77,25.28,2119900.0,2500.0,2299400.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 08:30:13.178673
SMMR,25.13,25.02,25.13,2060400.0,,1830500.0,2500.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 08:30:13.178673
ATMN,24.89,24.89,25.47,2160000.0,2500.0,2131900.0,,3750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 08:30:13.178673
WNTR,25.26,24.98,25.04,1874600.0,2500.0,1712700.0,2500.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 08:30:13.178673
SPNG,24.98,24.77,24.98,2119900.0,2500.0,2288600.0,2500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 08:30:14.236475
SMMR,25.18,25.02,25.18,2060400.0,2500.0,1936800.0,,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 08:30:14.236475
ATMN,24.89,24.9,24.98,2035900.0,2500.0,2103200.0,2500.0,3750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 08:30:14.236475
WNTR,25.05,24.99,25.05,1889500.0,2500.0,1824100.0,,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 08:30:14.236475
SPNG,24.98,24.87,24.96,2500.0,2233400.0,750.0,7000.0,2500.0,2177200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 08:30:15.294660
SMMR,25.0,25.01,25.13,2500.0,2178000.0,,2000.0,,2196100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 08:30:15.294660
ATMN,24.88,24.86,24.87,,2267700.0,,9500.0,2500.0,2015600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 08:30:15.294660
WNTR,24.98,24.98,25.06,,2086700.0,,,2500.0,1523400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 08:30:15.294660
SPNG,24.86,24.86,25.12,2447200.0,6000.0,2500.0,2174600.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 08:30:16.345352
SMMR,25.18,25.03,25.18,2178000.0,,,1936800.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 08:30:16.345352
ATMN,24.88,24.86,24.88,2263300.0,6000.0,,2137200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 08:30:16.345352
WNTR,25.01,24.99,25.01,1963500.0,6000.0,,1813900.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 08:30:16.345352
SPNG,25.3,24.9,24.98,2500.0,2347000.0,2500.0,2297100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 08:30:17.398504
SMMR,25.16,25.0,25.1,,2274300.0,,2065500.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 08:30:17.398504
ATMN,25.06,24.92,25.06,2500.0,2086500.0,,2243700.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 08:30:17.398504
WNTR,25.01,24.99,25.01,2500.0,1969500.0,,1829200.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 08:30:17.398504
SPNG,24.99,24.98,24.99,6000.0,2351500.0,2750.0,2289900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 08:30:18.455169
SMMR,25.1,25.01,25.05,,2166500.0,6000.0,2145800.0,2500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 08:30:18.455169
ATMN,24.92,24.94,25.05,6000.0,2092400.0,,2142100.0,2500.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 08:30:18.455169
WNTR,25.01,24.99,25.01,,1970300.0,6000.0,1863600.0,2500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 08:30:18.455169
SPNG,25.06,24.99,25.05,2500.0,6000.0,2231400.0,2500.0,2287800.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 08:30:19.626490
SMMR,24.97,24.97,25.05,,,2320300.0,,2040600.0,2500.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 08:30:19.626490
ATMN,25.05,25.05,25.37,2500.0,6000.0,2096900.0,,2228000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 08:30:19.626490
WNTR,25.05,24.98,25.04,,,2075300.0,,1761500.0,3125.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 08:30:19.626490
SPNG,24.8,24.84,24.99,2378000.0,2500.0,6000.0,2500.0,2176400.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 08:30:20.698352
SMMR,24.97,25.0,25.04,2196500.0,,6000.0,,2038400.0,5000.0,10000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 08:30:20.698352
ATMN,25.05,25.11,25.34,2000100.0,2500.0,,2500.0,2181900.0,9500.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 08:30:20.698352
WNTR,25.23,25.1,25.12,1857800.0,,,,1833000.0,10000.0,2000.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 08:30:20.698352
SPNG,25.15,24.91,25.15,5500.0,2109500.0,3000.0,2500.0,2419000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 08:30:21.242102
SMMR,24.97,25.0,25.01,,2196500.0,5000.0,,2041200.0,10000.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 08:30:21.242102
ATMN,24.86,24.86,25.05,,2324900.0,,,2031700.0,3750.0,,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 08:30:21.242102
WNTR,25.22,25.22,25.24,6000.0,1847100.0,10000.0,,1951300.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 08:30:21.242102
SPNG,25.04,25.05,25.13,2500.0,2094400.0,6000.0,100.0,100.0,2500.0,2175800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 08:30:22.283026
SMMR,25.01,24.97,25.01,,2293200.0,,,10000.0,,2018100.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 08:30:22.283026
ATMN,24.86,24.9,24.91,,2079900.0,6000.0,100.0,100.0,,2031700.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 08:30:22.283026
WNTR,25.1,25.05,25.08,,2018300.0,6000.0,,2000.0,,1896900.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 08:30:22.283026
SPNG,25.04,25.06,25.12,100.0,2500.0,2094400.0,6000.0,3000.0,2500.0,2137100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 08:30:23.329740
SMMR,25.05,24.98,25.03,2000.0,2500.0,2097100.0,,,,2157000.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 08:30:23.329740
ATMN,25.03,25.03,25.05,5500.0,,2106800.0,6000.0,,,2225000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 08:30:23.329740
WNTR,25.24,25.18,25.24,10000.0,,1932600.0,6000.0,,,1951300.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 08:30:23.329740
SPNG,24.99,25.06,25.11,2256300.0,6000.0,2500.0,3000.0,2500.0,2126600.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 08:30:24.387059
SMMR,25.05,25.08,25.1,2204600.0,,,,,2154900.0,10000.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 08:30:24.387059
ATMN,25.09,25.1,25.18,2043300.0,6000.0,2500.0,,2500.0,2108800.0,100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 08:30:24.387059
WNTR,25.12,25.12,25.17,1994900.0,6000.0,,,2500.0,1879000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 08:30:24.387059
SPNG,24.97,25.08,25.11,2500.0,7000.0,6000.0,2136700.0,3000.0,2500.0,2121400.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 08:30:25.428779
SMMR,24.98,24.97,24.98,,,,2313700.0,2000.0,,2020600.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 08:30:25.428779
ATMN,25.22,25.17,25.22,,9500.0,6000.0,2157200.0,,,2231200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 08:30:25.428779
WNTR,25.26,25.13,25.26,2500.0,2000.0,6000.0,1822300.0,,,1841400.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 08:30:25.428779
SPNG,25.08,24.88,24.99,6000.0,2500.0,2187600.0,6000.0,3000.0,2500.0,1991600.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 08:30:26.476990
SMMR,24.98,24.97,24.98,,,2194200.0,6000.0,10000.0,,2044500.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 08:30:26.476990
ATMN,25.22,25.18,25.21,6000.0,2500.0,2049000.0,,2000.0,2500.0,2010900.0,2375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 08:30:26.476990
WNTR,25.07,25.2,25.25,6000.0,2500.0,1964100.0,,,2500.0,1841400.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 08:30:26.476990
SPNG,24.68,24.68,24.98,2464000.0,2500.0,5900.0,2087300.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 08:30:27.659520
SMMR,24.94,24.94,24.97,2102400.0,2500.0,6000.0,1927200.0,2000.0,2500.0,10000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 08:30:27.659520
ATMN,25.06,25.07,25.21,2156900.0,2500.0,,2107000.0,,2500.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 08:30:27.659520
WNTR,25.05,25.09,25.23,1828800.0,2500.0,,1820300.0,2000.0,2500.0,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 08:30:27.659520
SPNG,24.95,24.85,24.94,2310100.0,2500.0,2500.0,6000.0,2087300.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 08:30:28.714291
SMMR,24.98,24.97,24.98,2235300.0,,,6000.0,2013500.0,10000.0,10000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 08:30:28.714291
ATMN,25.15,25.16,25.21,2155100.0,2500.0,2500.0,,2107000.0,,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 08:30:28.714291
WNTR,25.26,25.07,25.26,1935300.0,2500.0,,,1740900.0,2000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 08:30:28.714291
SPNG,24.77,24.78,24.91,2500.0,2318200.0,2500.0,6000.0,2094300.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 08:30:29.785608
SMMR,24.98,25.0,25.04,2500.0,2118400.0,2500.0,6000.0,1906700.0,10000.0,2000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 08:30:29.785608
ATMN,25.22,25.25,25.31,2500.0,2096000.0,,,2237600.0,,,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 08:30:29.785608
WNTR,25.05,25.08,25.14,2500.0,1935300.0,2500.0,,1863600.0,2000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 08:30:29.785608
SPNG,25.01,25.01,25.17,2122200.0,6000.0,2500.0,3000.0,2340200.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 08:30:30.341559
SMMR,24.98,24.98,25.04,2366800.0,,,,2004900.0,2000.0,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 08:30:30.341559
ATMN,25.16,25.15,25.16,2225600.0,6000.0,,,2101900.0,,,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 08:30:30.341559
WNTR,25.14,25.09,25.13,1838200.0,6000.0,2500.0,2000.0,1774800.0,,6000.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 08:30:30.341559
SPNG,24.77,24.68,24.77,2464000.0,2092000.0,2500.0,2500.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 08:30:31.391696
SMMR,24.92,24.98,25.03,2222800.0,1916200.0,10000.0,2500.0,2500.0,6000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 08:30:31.391696
ATMN,25.16,25.3,25.31,2108200.0,2236500.0,,,2500.0,,6000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 08:30:31.391696
WNTR,25.15,25.09,25.15,1956200.0,1859200.0,,,,,6000.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 08:30:31.391696
SPNG,24.83,24.68,24.83,2464000.0,2237900.0,6000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 08:30:32.449040
SMMR,25.1,24.83,24.99,2330600.0,2121300.0,6000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 08:30:32.449040
ATMN,25.29,25.12,25.18,2103500.0,2104500.0,,2500.0,6000.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 08:30:32.449040
WNTR,24.99,25.07,25.14,1939800.0,1786000.0,6000.0,2500.0,6000.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 08:30:32.449040
SPNG,24.99,25.0,25.01,2500.0,2219500.0,6000.0,6000.0,2084500.0,2500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 08:30:33.521255
SMMR,25.1,24.83,24.87,,2330600.0,,6000.0,2026800.0,2500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 08:30:33.521255
ATMN,25.29,25.15,25.29,,2237300.0,6000.0,,2231900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 08:30:33.521255
WNTR,24.98,25.0,25.14,,2048100.0,,6000.0,1786000.0,2500.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 08:30:33.521255
SPNG,24.68,24.68,25.0,2464000.0,2250.0,2500.0,2068200.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 08:30:34.736304
SMMR,24.96,24.96,24.98,2142100.0,6000.0,2500.0,2007800.0,4000.0,2500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 08:30:34.736304
ATMN,25.15,25.19,25.2,2092500.0,,2500.0,1980200.0,4750.0,,6000.0,2750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 08:30:34.736304
WNTR,25.09,25.06,25.09,1927000.0,6000.0,2500.0,1823400.0,2000.0,,500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 08:30:34.736304
SPNG,25.0,24.99,25.0,6000.0,2500.0,2203200.0,750.0,2500.0,2025600.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-05 08:30:35.797631
SMMR,24.86,24.83,24.84,,,2341400.0,6000.0,2500.0,1892600.0,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-05 08:30:35.797631
ATMN,25.34,25.21,25.32,6000.0,2500.0,1962700.0,,,2097000.0,2750.0,2375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-05 08:30:35.797631
WNTR,25.19,25.04,25.19,,,2016000.0,,,1974900.0,,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-05 08:30:35.797631
SPNG,24.97,24.68,24.82,2464000.0,2252500.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-05 08:30:36.353702
SMMR,24.86,24.83,24.84,2337500.0,1892600.0,2500.0,5000.0,6000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-05 08:30:36.353702
ATMN,25.38,25.21,25.38,1962700.0,2222100.0,,,,2375.0,6000.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-05 08:30:36.353702
WNTR,25.28,25.04,25.28,2016000.0,1764900.0,,,,2000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-05 08:30:36.353702
SPNG,25.04,25.05,25.19,2325800.0,1500.0,2302400.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-05 08:30:37.413807
