ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_GIOT-3,SELL_WRSW-3,SELL_WRSW-1,BUY_WRSW-3,BUY_UEBR-1,SELL_GIOT-4,SELL_UEBR-1,BUY_WRSW-1,BUY_WRSW-2,BUY_GIOT-4,SELL_GIOT-3,SELL_WRSW-2,tick,timestamp
SPNG,0.0,0.0,0.0,2222400.0,2336600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:42:25.817843
SMMR,0.0,0.0,0.0,1531800.0,2055400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:42:25.817843
ATMN,0.0,0.0,0.0,2069700.0,1785200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:42:25.817843
WNTR,0.0,0.0,0.0,1759000.0,2170700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-03 06:42:25.817843
SPNG,0.0,24.99,25.35,2222400.0,2341800.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:42:26.927093,2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.
SMMR,25.15,24.91,25.15,1644700.0,2058700.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:42:26.927093,1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,
ATMN,0.0,25.01,25.02,2069300.0,1994700.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:42:26.927093,,,,,,
WNTR,25.04,24.91,24.93,1964000.0,2169500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-02-03 06:42:26.927093,,,,,,
SPNG,24.83,24.83,25.35,2026100.0,2343800.0,,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:42:27.987018
SMMR,24.88,24.92,24.99,1470700.0,2045900.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:42:27.987018
ATMN,25.02,25.01,25.02,2051200.0,1994700.0,,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:42:27.987018
WNTR,24.93,24.91,24.93,1885600.0,2169500.0,,0,0,0,0,0,0,0,0,0,0,0,2,2026-02-03 06:42:27.987018
SPNG,24.86,25.09,25.34,2279200.0,3500.0,3500.0,2238700.0,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:42:29.024106
SMMR,25.0,24.99,25.15,1557900.0,7000.0,,2058700.0,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:42:29.024106
ATMN,25.04,25.01,25.02,1993200.0,5250.0,5250.0,1868500.0,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:42:29.024106
WNTR,25.07,25.07,25.08,2004900.0,8750.0,,2149100.0,0,0,0,0,0,0,0,0,0,0,3,2026-02-03 06:42:29.024106
SPNG,24.84,24.83,24.84,2362900.0,2340700.0,,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:42:30.054979
SMMR,24.88,24.92,24.94,1557400.0,2056700.0,,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:42:30.054979
ATMN,24.94,24.73,24.75,2111700.0,2085100.0,,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:42:30.054979
WNTR,24.91,24.91,24.92,1885600.0,2165300.0,8750.0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-03 06:42:30.054979
SPNG,25.14,24.83,25.06,2353700.0,2337700.0,,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:42:31.083405
SMMR,25.2,24.93,25.2,1757100.0,2056700.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:42:31.083405
ATMN,24.94,24.73,24.75,2111800.0,2085100.0,,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:42:31.083405
WNTR,24.96,24.96,25.08,1996300.0,2149100.0,,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-03 06:42:31.083405
SPNG,24.81,24.93,25.06,2363100.0,2337700.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-03 06:42:32.111652
SMMR,25.2,24.93,25.02,1861300.0,2036200.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-03 06:42:32.111652
ATMN,25.06,24.93,25.06,2129100.0,1888200.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-03 06:42:32.111652
WNTR,25.1,24.96,24.99,2102700.0,2144600.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-03 06:42:32.111652
SPNG,24.93,24.93,25.05,2358600.0,2331300.0,,,0,0,0,0,0,0,0,0,0,0,7,2026-02-03 06:42:32.642124
SMMR,24.93,24.94,25.02,1861300.0,2036200.0,7000.0,,0,0,0,0,0,0,0,0,0,0,7,2026-02-03 06:42:32.642124
ATMN,25.06,25.0,25.05,2060000.0,1888200.0,5250.0,5250.0,0,0,0,0,0,0,0,0,0,0,7,2026-02-03 06:42:32.642124
WNTR,24.99,24.97,24.99,1958100.0,2144600.0,8750.0,,0,0,0,0,0,0,0,0,0,0,7,2026-02-03 06:42:32.642124
SPNG,25.35,24.94,25.35,3500.0,2254400.0,2343800.0,,0,0,0,0,0,0,0,0,0,0,8,2026-02-03 06:42:33.676402
SMMR,25.08,24.95,25.08,7000.0,1668100.0,2045300.0,,0,0,0,0,0,0,0,0,0,0,8,2026-02-03 06:42:33.676402
ATMN,25.0,25.0,25.04,,2160600.0,2007000.0,5250.0,0,0,0,0,0,0,0,0,0,0,8,2026-02-03 06:42:33.676402
WNTR,25.12,24.99,25.12,,2067500.0,2165600.0,,0,0,0,0,0,0,0,0,0,0,8,2026-02-03 06:42:33.676402
SPNG,24.7,24.7,25.0,2385200.0,2353800.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-03 06:42:34.707281
SMMR,24.95,24.95,25.08,1668100.0,2045300.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-03 06:42:34.707281
ATMN,25.1,25.0,25.1,2160600.0,1917100.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-03 06:42:34.707281
WNTR,25.12,24.9,25.12,1865300.0,2157200.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-03 06:42:34.707281
SPNG,25.0,24.7,25.0,2392200.0,2353800.0,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-03 06:42:35.785247
SMMR,24.92,24.94,25.08,1772700.0,2032600.0,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-03 06:42:35.785247
ATMN,24.93,25.01,25.1,2013900.0,1917100.0,5250.0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-03 06:42:35.785247
WNTR,24.89,24.89,25.0,1888000.0,2138200.0,,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-03 06:42:35.785247
SPNG,25.0,24.97,25.0,2375000.0,2353800.0,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-03 06:42:36.915312
SMMR,24.92,24.95,25.03,1877000.0,2000700.0,7000.0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-03 06:42:36.915312
ATMN,25.14,25.01,25.14,2137400.0,1695800.0,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-03 06:42:36.915312
WNTR,25.0,24.89,25.0,1888000.0,2160500.0,,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-03 06:42:36.915312
SPNG,25.18,25.18,25.35,2413400.0,2350000.0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-03 06:42:37.941545
SMMR,24.94,24.87,24.89,1983500.0,2004600.0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-03 06:42:37.941545
ATMN,25.37,25.01,25.37,2137400.0,1380300.0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-03 06:42:37.941545
WNTR,25.0,24.9,24.97,2112000.0,2150100.0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-03 06:42:37.941545
SPNG,24.99,24.97,24.99,2392600.0,2352800.0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-03 06:42:38.966232
SMMR,24.96,24.87,24.93,2099200.0,2009500.0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-03 06:42:38.966232
ATMN,25.0,25.03,25.37,2159900.0,1380300.0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-03 06:42:38.966232
WNTR,25.0,24.95,24.97,2110800.0,2150100.0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-03 06:42:38.966232
SPNG,24.98,24.97,24.98,2392600.0,2385000.0,,,0,0,0,0,0,0,0,0,0,0,14,2026-02-03 06:42:40.002704
SMMR,25.03,24.87,25.03,2121900.0,2033300.0,,,0,0,0,0,0,0,0,0,0,0,14,2026-02-03 06:42:40.002704
ATMN,25.38,25.03,25.33,2050200.0,1478200.0,5250.0,5250.0,0,0,0,0,0,0,0,0,0,0,14,2026-02-03 06:42:40.002704
WNTR,24.95,24.95,24.96,2014700.0,2121100.0,8750.0,,0,0,0,0,0,0,0,0,0,0,14,2026-02-03 06:42:40.002704
SPNG,24.98,24.97,24.98,2392600.0,2396400.0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-03 06:42:41.036489
SMMR,25.03,24.9,24.93,2117300.0,1990000.0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-03 06:42:41.036489
ATMN,25.17,25.17,25.32,2170500.0,1581900.0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-03 06:42:41.036489
