tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-1,BUY_LUIS-1,BUY_CHUL-1,SELL_CHUL-1,SELL_COLA-6,BUY_COLA-6
0,2026-02-01 10:02:48.402295,SPNG,0.0,0.0,0.0,2025000.0,1864400.0,0,0,0,0,0,0
0,2026-02-01 10:02:48.402295,SMMR,0.0,0.0,0.0,2302100.0,2127200.0,0,0,0,0,0,0
0,2026-02-01 10:02:48.402295,ATMN,25.01,0.0,25.01,2191000.0,1974800.0,0,0,0,0,0,0
0,2026-02-01 10:02:48.402295,WNTR,24.98,24.98,0.0,2193500.0,1877900.0,0,0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,1,2026-02-01 10:02:49.451187,SPNG,24.9,24.9,25.22,1931600.0,1500.0,1821800.0,1500.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 10:02:49.451187,SMMR,0.0,25.05,25.07,2109800.0,2500.0,2127200.0,,0,0,0,0
,,,,,,1,2026-02-01 10:02:49.451187,ATMN,24.73,24.73,25.01,2172800.0,,1974800.0,2000.0,0,0,0,0
,,,,,,1,2026-02-01 10:02:49.451187,WNTR,25.03,24.98,25.03,2100500.0,3500.0,2070600.0,3500.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,2,2026-02-01 10:02:50.482231,SPNG,25.22,24.71,24.87,1906200.0,1231.0,1231.0,1821800.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 10:02:50.482231,SMMR,25.07,25.02,25.07,2269400.0,,2500.0,2132600.0,,,0,0
,,,,,,2,2026-02-01 10:02:50.482231,ATMN,24.72,24.72,25.05,2161100.0,,,1862600.0,,,0,0
,,,,,,2,2026-02-01 10:02:50.482231,WNTR,25.03,24.98,25.03,2007500.0,3500.0,3500.0,1939800.0,5000.0,5000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,3,2026-02-01 10:02:51.511058,SPNG,24.71,24.87,25.22,1452.0,1906200.0,1799400.0,1452.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 10:02:51.511058,SMMR,24.96,24.96,25.07,,2329700.0,2223600.0,,,,0,0
,,,,,,3,2026-02-01 10:02:51.511058,ATMN,24.72,25.01,25.05,1885.0,2084900.0,1862600.0,1885.0,,,0,0
,,,,,,3,2026-02-01 10:02:51.511058,WNTR,25.05,24.98,25.03,3500.0,2008300.0,1964900.0,3500.0,5000.0,5000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,4,2026-02-01 10:02:52.532180,SPNG,25.27,24.87,25.26,901.0,1906200.0,901.0,1834500.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 10:02:52.532180,SMMR,24.96,24.96,25.0,1228.0,2183200.0,,2218200.0,,,0,0
,,,,,,4,2026-02-01 10:02:52.532180,ATMN,24.88,24.88,24.99,,2157100.0,1521.0,1995100.0,,,0,0
,,,,,,4,2026-02-01 10:02:52.532180,WNTR,24.97,24.97,25.0,3500.0,2011500.0,3500.0,1953700.0,5000.0,5000.0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,5,2026-02-01 10:02:53.580046,SPNG,25.31,24.87,24.94,563.0,1904600.0,1958000.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 10:02:53.580046,SMMR,24.93,24.93,24.99,,2302600.0,2125200.0,614.0,,0,0,0
,,,,,,5,2026-02-01 10:02:53.580046,ATMN,24.75,24.73,24.75,,2224800.0,2112800.0,1065.0,,0,0,0
,,,,,,5,2026-02-01 10:02:53.580046,WNTR,25.05,24.99,25.05,1424.0,1892000.0,2189800.0,,10000.0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,6,2026-02-01 10:02:54.605766,SPNG,25.31,24.87,24.94,563.0,1919500.0,1950100.0,,,,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,6,2026-02-01 10:02:54.605766,SMMR,25.08,24.93,25.0,,2302600.0,2102800.0,577.0,,,0,0
,,,,,,6,2026-02-01 10:02:54.605766,ATMN,24.99,24.73,24.75,,2249300.0,2091300.0,505.0,,,0,0
,,,,,,6,2026-02-01 10:02:54.605766,WNTR,25.05,24.92,25.05,,2106900.0,1960700.0,1315.0,5000.0,5000.0,0,0
