news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-1,BUY_LUIS-1,SELL_COLA-6,BUY_COLA-6
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,1,2026-02-01 08:01:17.983170,SPNG,25.02,25.02,25.07,2161600.0,2415500.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,1,2026-02-01 08:01:17.983170,SMMR,24.99,24.99,25.06,1819700.0,2068300.0,0,0,0,0
,,,,,,1,2026-02-01 08:01:17.983170,ATMN,24.84,24.84,24.96,1924200.0,2316000.0,0,0,0,0
,,,,,,1,2026-02-01 08:01:17.983170,WNTR,0.0,24.99,25.02,2325000.0,2085700.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,2,2026-02-01 08:01:19.009003,SPNG,25.16,25.02,25.16,2305600.0,2413300.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,2,2026-02-01 08:01:19.009003,SMMR,24.9,24.98,25.06,1971400.0,2081400.0,0,0,0,0
,,,,,,2,2026-02-01 08:01:19.009003,ATMN,24.96,24.84,24.96,2164700.0,2316100.0,0,0,0,0
,,,,,,2,2026-02-01 08:01:19.009003,WNTR,24.99,24.99,25.02,2327700.0,2184200.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,3,2026-02-01 08:01:20.039056,SPNG,25.04,24.79,25.04,2175600.0,2437100.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,3,2026-02-01 08:01:20.039056,SMMR,25.06,24.98,25.06,2068900.0,2078800.0,0,0,0,0
,,,,,,3,2026-02-01 08:01:20.039056,ATMN,25.18,25.21,25.44,2185100.0,2269900.0,0,0,0,0
,,,,,,3,2026-02-01 08:01:20.039056,WNTR,24.99,24.99,25.02,2328900.0,2207200.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,4,2026-02-01 08:01:21.054977,SPNG,25.2,24.54,25.2,2047900.0,2391800.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,4,2026-02-01 08:01:21.054977,SMMR,25.08,24.86,25.08,1956600.0,1962900.0,0,0,0,0
,,,,,,4,2026-02-01 08:01:21.054977,ATMN,25.21,24.84,24.86,2164700.0,2265600.0,0,0,0,0
,,,,,,4,2026-02-01 08:01:21.054977,WNTR,24.99,24.94,24.95,2355000.0,2207000.0,0,0,0,0
2.0,1.0,1.0,,Aggregate Position Limit,Your CRO has set the aggregate position limit to 13000 shares for this week.,5,2026-02-01 08:01:22.074804,SPNG,25.38,24.73,25.38,2302700.0,2389700.0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC 2026 Alogithmic Market Making Case - practice server,,5,2026-02-01 08:01:22.074804,SMMR,25.13,24.93,25.13,2114100.0,1862900.0,0,0,0,0
,,,,,,5,2026-02-01 08:01:22.074804,ATMN,25.21,24.84,24.86,2169200.0,2263800.0,0,0,0,0
,,,,,,5,2026-02-01 08:01:22.074804,WNTR,24.99,24.94,24.95,2282000.0,2207000.0,0,0,0,0
