ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_COLA-1,SELL_ANON,BUY_COLA-1,BUY_WRSW-2,SELL_WRSW-1,SELL_COLB-2,BUY_NAIT-1,BUY_WRSW-1,SELL_BRCH-1,SELL_WRSW-3,BUY_LUIS-1,SELL_UOTB-2,BUY_LAVL-1,SELL_UOTB-1,BUY_UEBR-1,BUY_COLA-3,SELL_LAVL-1,BUY_WRSW-3,BUY_BRCH-1,SELL_UEBR-1,BUY_UOTB-1,BUY_UOTB-2,SELL_LUIS-1,BUY_UOTB-3,SELL_COLA-3,BUY_COLB-2,SELL_WRSW-2,SELL_UOTB-3,SELL_NAIT-1,tick,timestamp
ATMN,25.13,24.97,25.13,10000.0,1519800.0,5400.0,,1891700.0,5400.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 21:06:17.823443
WNTR,25.04,25.04,25.06,,1969300.0,2515.0,13000.0,1531100.0,2515.0,10000.0,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-04 21:06:17.823443
SPNG,25.03,24.89,24.93,1974800.0,5000.0,1656700.0,15000.0,2526.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 21:06:18.886182
SMMR,24.93,24.92,24.93,1881000.0,5000.0,1976200.0,5000.0,3473.0,10000.0,3473.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 21:06:18.886182
ATMN,24.83,24.95,25.12,1812400.0,5000.0,1668000.0,10000.0,2593.0,,2593.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 21:06:18.886182
WNTR,24.89,25.02,25.06,2087300.0,,1522700.0,13000.0,3364.0,,3364.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-04 21:06:18.886182
SPNG,25.03,24.89,24.93,1880300.0,2299.0,5000.0,1412100.0,25000.0,2299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 21:06:19.419878
SMMR,24.91,24.91,24.99,2108200.0,3372.0,,2092900.0,5000.0,3372.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 21:06:19.419878
ATMN,25.13,24.96,25.13,1684700.0,5036.0,5000.0,2033200.0,,2518.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 21:06:19.419878
WNTR,25.06,25.08,25.09,1977000.0,6532.0,,1553300.0,13000.0,6532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-04 21:06:19.419878
SPNG,24.89,24.89,25.26,1864400.0,5000.0,5000.0,15000.0,1544200.0,3092.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 21:06:20.468096
SMMR,25.13,24.92,25.13,1820000.0,10000.0,,5000.0,1964300.0,5176.0,5176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 21:06:20.468096
ATMN,25.17,24.97,25.12,1391500.0,10000.0,15000.0,,1900900.0,3168.0,3168.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 21:06:20.468096
WNTR,25.08,25.08,25.11,2083000.0,10000.0,,13000.0,1741800.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-04 21:06:20.468096
SPNG,25.0,24.9,25.0,10000.0,1773100.0,1809.0,1995700.0,1809.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 21:06:21.535223
SMMR,25.06,25.06,25.12,5000.0,1831600.0,2860.0,1846700.0,2860.0,10000.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 21:06:21.535223
ATMN,25.0,25.1,25.12,15000.0,1511100.0,1750.0,2011700.0,1750.0,3000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 21:06:21.535223
WNTR,24.98,24.89,24.98,,2197800.0,,1525800.0,3342.0,,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-04 21:06:21.535223
SPNG,25.0,24.9,25.0,10000.0,5000.0,1689600.0,1469.0,1995700.0,1469.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 21:06:22.608294
SMMR,24.84,24.84,25.12,,,2202700.0,,1826200.0,2322.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 21:06:22.608294
ATMN,24.96,24.96,25.12,5000.0,,1896700.0,,1963600.0,1421.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 21:06:22.608294
WNTR,25.11,25.1,25.11,,10000.0,1969400.0,1780.0,1532000.0,1780.0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-04 21:06:22.608294
SPNG,25.07,25.07,25.39,1720200.0,1425.0,14000.0,1425.0,2007100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 21:06:23.664759
SMMR,24.84,24.84,25.12,2075100.0,1989.0,,1989.0,1728600.0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 21:06:23.664759
ATMN,25.12,24.99,25.12,1866100.0,,5000.0,,1971200.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 21:06:23.664759
WNTR,24.98,24.98,25.12,2094900.0,1727.0,,1727.0,1628300.0,13000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-04 21:06:23.664759
SPNG,24.75,24.75,25.04,2005700.0,5000.0,2112700.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 21:06:24.736303
SMMR,24.83,24.83,24.86,1994800.0,,1510400.0,4170.0,21000.0,4170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 21:06:24.736303
ATMN,25.18,24.99,25.18,1696200.0,5000.0,1880500.0,3188.0,,3188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 21:06:24.736303
WNTR,24.98,24.89,24.91,2066800.0,,1632000.0,1810.0,13000.0,1810.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-04 21:06:24.736303
SPNG,25.16,25.25,25.29,1955700.0,1779.0,5000.0,1952700.0,1779.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 21:06:25.771698
SMMR,24.82,24.83,25.13,1855400.0,2656.0,1000.0,1858900.0,5447.0,10000.0,10000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 21:06:25.771698
ATMN,25.25,24.99,25.25,1601100.0,3470.0,5000.0,1880900.0,3470.0,10000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 21:06:25.771698
WNTR,24.95,24.89,24.95,1905500.0,5358.0,,1435100.0,5358.0,10000.0,10000.0,13000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-04 21:06:25.771698
SPNG,25.29,24.87,25.29,1930800.0,2014.0,5000.0,1847800.0,2000.0,2014.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 21:06:26.806677
SMMR,24.8,24.96,25.05,2144500.0,2363.0,,1969500.0,6495.0,2363.0,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 21:06:26.806677
ATMN,25.25,24.99,25.16,1841200.0,1643.0,5000.0,1984100.0,,1643.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 21:06:26.806677
WNTR,25.14,25.05,25.14,1865800.0,6166.0,,1454100.0,2000.0,6166.0,13000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-04 21:06:26.806677
SPNG,25.42,24.86,25.28,10000.0,1552.0,1820000.0,5000.0,1552.0,1873100.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 21:06:27.860404
SMMR,24.8,24.99,25.05,5000.0,1731.0,1854900.0,5000.0,1731.0,1963700.0,10000.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 21:06:27.860404
ATMN,24.96,24.97,25.03,5000.0,1567.0,1738400.0,5000.0,1567.0,1874400.0,7505.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 21:06:27.860404
WNTR,24.89,24.9,25.14,10000.0,2238.0,1763300.0,13000.0,2238.0,1548400.0,10000.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-04 21:06:27.860404
SPNG,25.42,24.86,24.87,10000.0,1552.0,1811800.0,1853000.0,1552.0,5000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 21:06:28.443689
SMMR,24.99,24.99,25.05,5000.0,1731.0,1854900.0,1963700.0,1731.0,5000.0,10000.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 21:06:28.443689
ATMN,24.96,24.97,25.02,5000.0,1567.0,1731900.0,1658100.0,1567.0,15000.0,7505.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 21:06:28.443689
WNTR,25.14,24.9,25.14,10000.0,2238.0,1763300.0,1655200.0,,13000.0,10000.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-04 21:06:28.443689
SPNG,25.28,24.86,25.08,10000.0,3058.0,1726100.0,1492200.0,15000.0,3058.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 21:06:29.485091
SMMR,25.13,24.99,25.13,5000.0,4692.0,1765400.0,2197300.0,5000.0,,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 21:06:29.485091
ATMN,25.03,24.99,25.03,10000.0,3412.0,1576300.0,1763500.0,5000.0,3412.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 21:06:29.485091
WNTR,24.89,24.86,24.87,,,2222400.0,1856000.0,4000.0,2554.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-04 21:06:29.485091
SPNG,25.08,24.86,25.08,10000.0,2000.0,1603.0,1713600.0,1616300.0,1603.0,15000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 21:06:30.526981
SMMR,24.99,24.99,25.04,5000.0,10000.0,2531.0,1865100.0,1738200.0,2531.0,15000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 21:06:30.526981
ATMN,25.16,25.07,25.1,15000.0,10000.0,1790.0,1486500.0,1972600.0,1790.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 21:06:30.526981
WNTR,24.87,24.86,24.87,,10000.0,2848.0,2017500.0,1643200.0,2848.0,9000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-04 21:06:30.526981
SPNG,25.08,24.86,25.08,10000.0,3136.0,1645600.0,1492200.0,3136.0,15000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 21:06:31.577987
SMMR,25.17,25.0,25.17,10000.0,4951.0,1756300.0,1928000.0,4951.0,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 21:06:31.577987
ATMN,25.29,25.2,25.29,25000.0,3502.0,1281600.0,1892000.0,3502.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 21:06:31.577987
WNTR,25.19,24.97,25.01,,5349.0,1896900.0,1746600.0,5349.0,4000.0,8954.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2026-02-04 21:06:31.577987
SPNG,24.82,24.84,25.18,1657.0,1876900.0,5000.0,1951400.0,1657.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 21:06:32.623591
SMMR,25.17,25.0,25.11,2652.0,1756300.0,10000.0,2065800.0,,10000.0,10000.0,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 21:06:32.623591
ATMN,25.31,25.18,25.28,2216.0,1690500.0,10000.0,1895500.0,2216.0,,,5000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 21:06:32.623591
WNTR,25.19,24.97,25.19,2641.0,2007000.0,,1861500.0,2641.0,10000.0,,4000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2026-02-04 21:06:32.623591
SPNG,24.88,25.22,25.33,3383.0,10000.0,1665600.0,3383.0,1844900.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 21:06:33.683776
SMMR,24.96,24.96,25.07,5636.0,5000.0,1878700.0,5636.0,1863200.0,8046.0,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 21:06:33.683776
ATMN,25.13,25.18,25.28,2394.0,10000.0,1709100.0,4693.0,1794100.0,,5000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 21:06:33.683776
WNTR,25.08,24.98,25.08,5593.0,10000.0,1710700.0,5593.0,1627100.0,2000.0,4000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2026-02-04 21:06:33.683776
SPNG,24.8,24.82,25.32,1906.0,1873400.0,5000.0,5000.0,3812.0,1705200.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 21:06:34.746571
SMMR,25.1,24.96,25.1,5750.0,1769900.0,5000.0,5000.0,5750.0,1927000.0,10000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 21:06:34.746571
ATMN,25.06,25.06,25.28,4452.0,1600600.0,10000.0,5000.0,4452.0,1787400.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-02-04 21:06:34.746571
