ticker,last_price,bid_price,ask_price,BUY_COLA-1,BUY_ANON,SELL_ANON,SELL_COLA-1,BUY_GIOT-3,SELL_WRSW-3,BUY_LUIS-1,SELL_UOTB-2,SELL_BRCH-3,BUY_LAVL-1,BUY_BRCH-3,BUY_UEBR-1,BUY_UOTB-1,BUY_UOTB-2,SELL_LUIS-1,SELL_COLA-3,SELL_UOTB-3,SELL_NAIT-1,BUY_WRSW-2,SELL_WRSW-1,BUY_CNCD-5,SELL_COLB-2,BUY_NAIT-1,BUY_WRSW-1,SELL_BRCH-1,BUY_BRCH-2,SELL_UOTB-1,BUY_COLA-3,SELL_LAVL-1,BUY_WRSW-3,BUY_BRCH-1,SELL_UEBR-1,SELL_GIOT-3,BUY_UOTB-3,BUY_CAMN-1,SELL_CNCD-5,BUY_COLB-2,SELL_WRSW-2,SELL_BRCH-2,tick,timestamp
SMMR,24.99,24.99,25.01,,1000.0,2217300.0,,1000.0,2053100.0,750.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 19:39:59.318724
ATMN,25.09,24.97,25.0,,1000.0,1426600.0,,1000.0,2023900.0,,2250.0,750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 19:39:59.318724
WNTR,25.05,24.89,25.05,,,2036100.0,,,2138900.0,,,1525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-02-05 19:39:59.318724
SPNG,24.91,24.9,24.91,136000.0,1000.0,3000.0,110000.0,32000.0,1000.0,1715100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 19:40:00.412770
SMMR,25.08,25.08,25.1,,1000.0,,2192800.0,,1000.0,2183800.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 19:40:00.412770
ATMN,24.97,24.98,25.0,,1000.0,2250.0,1494900.0,,1000.0,1709700.0,6750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 19:40:00.412770
WNTR,24.97,24.9,24.91,,1000.0,,2036100.0,,1000.0,2008100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026-02-05 19:40:00.412770
SPNG,24.89,24.89,24.92,152000.0,1000.0,1000.0,706.0,2052500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 19:40:00.978505
SMMR,25.09,25.09,25.1,,1000.0,1000.0,706.0,2048300.0,2197200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 19:40:00.978505
ATMN,24.92,24.92,25.0,,,1000.0,706.0,1479000.0,1494900.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 19:40:00.978505
WNTR,24.88,24.88,25.05,,1000.0,,,2138900.0,2036100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-02-05 19:40:00.978505
SPNG,24.89,24.89,24.9,152000.0,1000.0,32000.0,1000.0,3000.0,1580100.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 19:40:02.027120
SMMR,25.03,25.03,25.1,,,,1000.0,,1940200.0,2322000.0,1992.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 19:40:02.027120
ATMN,25.04,25.04,25.07,,1000.0,,1000.0,11250.0,1390900.0,1712600.0,706.0,1286.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 19:40:02.027120
WNTR,24.83,24.9,24.91,,1000.0,,1000.0,,1931000.0,2070700.0,1286.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-02-05 19:40:02.027120
SPNG,24.88,24.87,24.88,160000.0,24000.0,1000.0,3000.0,1695700.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 19:40:03.083886
SMMR,25.1,25.05,25.09,,,1000.0,,2155200.0,1000.0,2078900.0,608.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 19:40:03.083886
ATMN,24.92,25.0,25.09,,,,2250.0,1888900.0,1000.0,1706500.0,,608.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 19:40:03.083886
WNTR,24.9,24.9,24.92,,,1000.0,,2038600.0,1000.0,1938400.0,608.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-02-05 19:40:03.083886
SPNG,24.87,24.87,25.14,144000.0,1672.0,3000.0,16000.0,1942400.0,3000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 19:40:04.149694
SMMR,25.11,25.11,25.13,,1672.0,,,2265100.0,,2076700.0,1000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 19:40:04.149694
ATMN,24.92,25.02,25.05,,1672.0,6750.0,,1795300.0,,1637600.0,1000.0,1000.0,2280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 19:40:04.149694
WNTR,24.92,24.9,24.92,,2280.0,,,1914300.0,,1889200.0,1000.0,1000.0,1672.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2026-02-05 19:40:04.149694
SPNG,24.89,24.9,25.09,500.0,136000.0,6000.0,144000.0,100.0,3000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 19:40:05.207635
SMMR,25.1,24.92,24.98,,,,,9666.0,,2207200.0,919.0,2001400.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 19:40:05.207635
ATMN,25.21,25.16,25.21,1000.0,,9000.0,,,,1500200.0,6999.0,2128400.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 19:40:05.207635
WNTR,24.9,24.9,25.14,,,,,535.0,,2075100.0,10000.0,1911200.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2026-02-05 19:40:05.207635
SPNG,24.89,24.92,25.06,500.0,100.0,120000.0,9000.0,136000.0,500.0,100.0,3000.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 19:40:05.991991
SMMR,25.07,24.94,24.98,1000.0,919.0,,,,,9666.0,,2074200.0,2127100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 19:40:05.991991
ATMN,25.21,25.21,25.22,,,,11250.0,,,,,1648000.0,2149300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 19:40:05.991991
WNTR,24.96,24.91,24.96,1000.0,10000.0,,,,1000.0,535.0,,1986000.0,1888400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-02-05 19:40:05.991991
SPNG,24.87,24.96,25.02,2500.0,1000.0,113600.0,2250.0,120000.0,3000.0,128000.0,2500.0,1000.0,2250.0,3000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 19:40:07.043704
SMMR,24.9,24.87,24.89,2500.0,1000.0,2091200.0,,,,,2500.0,1000.0,10673.0,,1826800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 19:40:07.043704
ATMN,25.21,25.21,25.22,,1000.0,1413300.0,504.0,,11250.0,,,1000.0,,,2022600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 19:40:07.043704
WNTR,25.1,24.93,25.07,,1000.0,1876000.0,12930.0,,,,2500.0,1000.0,535.0,,1797900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-02-05 19:40:07.043704
SPNG,24.91,24.96,24.98,1000.0,152000.0,128000.0,2500.0,100.0,1000.0,3000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 19:40:08.094540
SMMR,24.9,24.86,24.87,1000.0,,,,10000.0,1000.0,,2049400.0,816.0,2060500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 19:40:08.094540
ATMN,25.24,25.11,25.23,1000.0,,,,,,2250.0,1308600.0,,2048300.0,2500.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 19:40:08.094540
WNTR,25.1,25.03,25.05,1000.0,,,,703.0,1000.0,,1976900.0,9265.0,1920200.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2026-02-05 19:40:08.094540
SPNG,25.03,24.91,25.03,160000.0,144000.0,6000.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 19:40:09.140299
SMMR,24.98,24.86,24.98,,,,1936600.0,1581.0,1000.0,2255800.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 19:40:09.140299
ATMN,25.0,25.0,25.36,,,2250.0,2115500.0,,,1936400.0,2250.0,1000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 19:40:09.140299
WNTR,25.03,24.98,25.02,,,,2084600.0,9265.0,,1992900.0,,,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-02-05 19:40:09.140299
SPNG,25.02,25.02,25.03,116300.0,136000.0,1000.0,3000.0,136000.0,9000.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 19:40:10.187013
SMMR,24.99,24.97,24.99,2178000.0,,1000.0,,,,2249800.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 19:40:10.187013
ATMN,25.07,25.15,25.32,1653700.0,,1000.0,6750.0,,2250.0,1828600.0,2500.0,2500.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 19:40:10.187013
WNTR,25.02,24.89,25.0,2053100.0,,1000.0,,,,1992900.0,,,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-02-05 19:40:10.187013
SPNG,24.99,24.97,25.0,136000.0,1000.0,6000.0,128000.0,1000.0,9000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 19:40:11.242178
SMMR,24.97,24.97,24.99,,1000.0,,,1000.0,,2028700.0,7788.0,2033200.0,7788.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 19:40:11.242178
ATMN,25.41,25.29,25.41,,1000.0,9000.0,,,,1531300.0,7788.0,2140200.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 19:40:11.242178
WNTR,24.88,24.88,25.14,,,,,,,2164100.0,,1994500.0,,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2026-02-05 19:40:11.242178
SPNG,24.97,24.95,24.96,1000.0,152000.0,128000.0,9000.0,95600.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 19:40:12.311190
SMMR,24.83,24.96,24.97,1000.0,,,,1836900.0,2500.0,2109900.0,2500.0,1000.0,10857.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 19:40:12.311190
ATMN,25.41,25.41,25.45,500.0,,,2250.0,1931500.0,2500.0,1094200.0,,,397.0,17788.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 19:40:12.311190
WNTR,24.88,24.98,25.08,500.0,,,,1633500.0,,1855600.0,2500.0,500.0,14093.0,8491.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2026-02-05 19:40:12.311190
SPNG,24.89,24.87,24.89,3000.0,152000.0,254400.0,104000.0,2500.0,12000.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 19:40:13.380367
SMMR,25.13,25.01,25.07,,,2049600.0,,2500.0,,1000.0,10000.0,2109900.0,1181.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 19:40:13.380367
ATMN,25.53,25.54,25.57,13500.0,,2017000.0,,,2250.0,500.0,5772.0,1219900.0,,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 19:40:13.380367
WNTR,25.17,24.92,25.02,,,1869800.0,,2500.0,,500.0,259.0,1869300.0,10000.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-02-05 19:40:13.380367
SPNG,24.84,24.84,24.85,160000.0,112000.0,453.0,12000.0,133900.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 19:40:14.453785
SMMR,25.07,24.86,25.05,,,453.0,,1947500.0,7097.0,453.0,2500.0,1992900.0,8278.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 19:40:14.453785
ATMN,25.29,25.22,25.28,,,,6750.0,1615500.0,10772.0,226.0,,1111700.0,1272.0,15750.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 19:40:14.453785
WNTR,25.17,24.94,24.96,,,,,1765800.0,523.0,226.0,2500.0,1748400.0,20000.0,,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2026-02-05 19:40:14.453785
SPNG,24.84,24.83,24.84,110000.0,144000.0,453.0,120000.0,7097.0,453.0,6000.0,133900.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 19:40:15.043255
SMMR,24.82,24.82,25.04,2333600.0,,,,8278.0,453.0,,1848700.0,2500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 19:40:15.043255
ATMN,25.32,25.23,25.32,981100.0,,226.0,,1272.0,,6750.0,1726100.0,,10772.0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 19:40:15.043255
WNTR,24.83,24.89,24.95,2049100.0,,226.0,,20000.0,226.0,,1674200.0,2500.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2026-02-05 19:40:15.043255
SPNG,24.84,24.83,24.85,144000.0,3000.0,480.0,96000.0,15000.0,480.0,235400.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 19:40:16.119323
SMMR,24.82,24.84,24.97,,,480.0,,,,1801100.0,2105400.0,185.0,2500.0,13976.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 19:40:16.119323
ATMN,25.31,25.19,25.31,,20250.0,500.0,,11250.0,,1378000.0,896500.0,5772.0,,2123.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 19:40:16.119323
WNTR,25.07,24.9,24.91,,,500.0,,,,1886000.0,1872500.0,142.0,2500.0,5014.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-02-05 19:40:16.119323
SPNG,24.84,24.83,24.84,136000.0,448.0,6000.0,88000.0,431.0,448.0,15000.0,235400.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 19:40:17.177379
SMMR,24.82,24.85,24.92,,448.0,,,4570.0,448.0,,1929500.0,2115400.0,255.0,2500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 19:40:17.177379
ATMN,25.07,25.22,25.23,,224.0,2250.0,,100.0,,13500.0,1307500.0,2027900.0,,2500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 19:40:17.177379
WNTR,25.07,24.96,25.06,,224.0,,,,,,1979000.0,1887000.0,9725.0,2500.0,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-02-05 19:40:17.177379
SPNG,24.81,24.81,25.01,152000.0,100.0,12000.0,112000.0,229500.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 19:40:18.228619
SMMR,24.81,24.82,24.86,,195.0,,,1669700.0,479.0,2104900.0,23294.0,2500.0,479.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 19:40:18.228619
ATMN,25.23,25.18,25.22,,1263.0,20250.0,,981300.0,239.0,2035000.0,100.0,,239.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 19:40:18.228619
WNTR,25.17,25.02,25.17,,21863.0,,,2004000.0,239.0,1631300.0,696.0,,,2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-02-05 19:40:18.228619
SPNG,24.79,24.87,24.96,232400.0,463.0,3000.0,128000.0,112000.0,2500.0,463.0,9000.0,133900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 19:40:19.278304
SMMR,24.93,24.93,24.98,2069300.0,463.0,,,,,,,2257400.0,9666.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 19:40:19.278304
ATMN,25.31,25.31,25.32,2160700.0,231.0,,,,,,6750.0,1833900.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 19:40:19.278304
WNTR,25.08,24.96,24.97,2110900.0,231.0,,,,,231.0,,1875100.0,,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2026-02-05 19:40:19.278304
SPNG,24.79,24.88,24.91,9000.0,116000.0,459.0,112000.0,100.0,128000.0,2500.0,136000.0,459.0,100.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 19:40:20.318552
SMMR,24.85,24.91,24.92,,1953100.0,459.0,,19666.0,,2500.0,2041300.0,459.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 19:40:20.318552
ATMN,25.07,25.38,25.56,,2162300.0,,,10000.0,,2500.0,1712200.0,,419.0,4500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-02-05 19:40:20.318552
