word,avg_effect,std_effect,count,total_impact
dynamic,0.04128849747412083,0.035221390790761316,5,0.20644248737060417
mitigation,0.040179516787189916,0.05137464513497453,28,1.1250264700413177
approving,0.038172669070484805,0.04691915212885173,24,0.9161440576916353
measures,0.038172669070484805,0.04691915212885173,24,0.9161440576916353
order,0.03209622326325881,0.04084639736887027,64,2.054158288848564
conglomerate,0.03205808982177644,0.02401264536579964,4,0.12823235928710577
electricity,0.029593411041384757,0.03558298484022182,24,0.7102418649932342
schedule,0.029593411041384757,0.03558298484022182,24,0.7102418649932342
safety,0.027511815759206543,0.037121229243244,54,1.4856380509971534
transportation,0.027511815759206543,0.037121229243244,27,0.7428190254985767
record,0.027511815759206543,0.037121229243244,27,0.7428190254985767
accepted,0.027248516378136522,0.05543300622009566,3,0.08174554913440957
clearing,0.027248516378136522,0.05543300622009566,3,0.08174554913440957
weeks,0.027248516378136522,0.05543300622009566,3,0.08174554913440957
unaffected,0.02258084834570547,0.02897108949019249,7,0.15806593841993827
expression,0.02206235489371316,0.024110216412036974,23,0.5074341625554026
increases,0.02079812809708421,0.032745189203298185,27,0.5615494586212737
k,0.02073394483418569,0.03553955683727019,29,0.601284400191385
disclosing,0.02073394483418569,0.03553955683727019,29,0.601284400191385
confidential,0.020733944834185683,0.03553955683727019,58,1.2025688003827697
commissions,0.02063942369591077,0.030866716064497927,82,1.6924327430646833
expressing,0.020617409071986295,0.03603820541255804,9,0.18555668164787667
indicating,0.020293971866601666,0.03099209461398833,31,0.6291131278646517
hurdle,0.020293971866601666,0.03099209461398833,31,0.6291131278646517
cleared,0.020293971866601666,0.03099209461398833,31,0.6291131278646517
remedy,0.020227356179751143,0.04955384810690252,8,0.16181884943800914
gas,0.020209031127228428,0.03648690516833208,69,1.3944231477787616
sweetens,0.02010684626745268,0.04714926788047406,5,0.1005342313372634
behavioral,0.02002698563891368,0.043330482894125194,22,0.44059368405610094
api,0.020026985638913673,0.043330482894125194,11,0.2202968420280504
interoperability,0.020026985638913673,0.043330482894125194,11,0.2202968420280504
portability,0.020026985638913673,0.043330482894125194,11,0.2202968420280504
identifies,0.019830724522547697,0.024142954246677197,10,0.19830724522547696
base,0.019774300083526368,0.03550383276413215,63,1.2457809052621611
letters,0.01906023263909553,0.03283340823896086,45,0.8577104687592989
solutions,0.01906023263909553,0.03283340823896086,45,0.8577104687592989
lobbyists,0.01906023263909553,0.03283340823896086,45,0.8577104687592989
department,0.01806060187308212,0.033679382286646325,102,1.842181391054376
conditional,0.017896153944738896,0.04547442754911971,51,0.9127038511816836
unnamed,0.01789489900450164,0.017898577330907373,16,0.28631838407202626
sec,0.01789489900450164,0.017898577330907373,16,0.28631838407202626
integrated,0.01768626115391686,0.032781616979086416,47,0.8312542742340924
media,0.017444056520328204,0.024225085897927278,11,0.19188462172361023
consortium,0.01714234030293975,0.02461873411226705,38,0.6514089315117104
defending,0.016945728134760422,0.024605364771222837,14,0.2372401938866459
approached,0.01686891767410644,0.04389028457431332,16,0.26990268278570306
revises,0.016855694588177563,0.018019063119398555,7,0.11798986211724294
hearings,0.016849281787193242,0.03520351657069465,75,1.2636961340394932
source,0.016825377087533972,0.024904097600298773,11,0.1850791479628737
approach,0.016770493919374654,0.028919531467339422,76,1.2745575378724736
response,0.016693394918865723,0.028606338117047592,44,0.7345093764300918
granted,0.016275065634332005,0.026478710987109008,83,1.3508304476495565
preempt,0.015942785724882877,0.025598221928312494,6,0.09565671434929726
bidding,0.015942785724882877,0.025598221928312494,6,0.09565671434929726
bump,0.015942785724882877,0.025598221928312494,6,0.09565671434929726
contest,0.015942785724882877,0.025598221928312494,6,0.09565671434929726
implied,0.0156402116759038,0.029491234945218207,42,0.6568888903879595
increasing,0.0156402116759038,0.029491234945218207,42,0.6568888903879595
recession,0.015204028506345056,0.03597248372568361,45,0.6841812827855275
significantly,0.015204028506345056,0.03597248372568361,45,0.6841812827855275
fears,0.015204028506345056,0.03597248372568361,45,0.6841812827855275
improves,0.015104097777671204,0.01677656575056821,12,0.18124917333205445
identify,0.015082360080309698,0.03467832367778893,11,0.16590596088340667
minimum,0.015052819767785497,0.021041138487514394,9,0.13547537791006947
thresholds,0.015052819767785497,0.021041138487514394,9,0.13547537791006947
private,0.014990222402061852,0.03193741383567807,52,0.7794915649072163
propose,0.014985962310125937,0.0364472194878814,34,0.5095227185442819
sufficient,0.014691562710819632,0.01830243298431992,11,0.16160718981901595
justice,0.014658164874077322,0.03166765701644543,75,1.0993623655557991
early,0.014614289765779682,0.02743118263541243,111,1.6221861640015447
oversight,0.014552786455586827,0.028584887225932318,45,0.6548753905014072
commerce,0.014552786455586827,0.028584887225932318,45,0.6548753905014072
featuring,0.014552786455586827,0.028584887225932318,45,0.6548753905014072
subject,0.014435979185682549,0.031374400562269186,149,2.1509608986666997
guarantees,0.014209362755442049,0.0385477060816331,15,0.21314044133163074
publications,0.014155246725597589,0.02479730780518876,18,0.2547944410607566
solicitor,0.014022659874189483,0.019383093766155393,26,0.36458915672892656
after,0.013879179226632787,0.02304599727909785,52,0.7217173197849049
contingency,0.013725667306054318,0.028096497040576495,11,0.1509823403665975
outcome,0.013532131127327374,0.020124631375854306,15,0.2029819669099106
likely,0.013532131127327374,0.020124631375854306,15,0.2029819669099106
commodity,0.013373600496848709,0.03305856366481599,115,1.5379640571376016
receipt,0.01333686084361096,0.031132201480048156,93,1.2403280584558192
noting,0.013116083333889205,0.02943328125345415,40,0.5246433333555682
qualified,0.013116083333889205,0.02943328125345415,40,0.5246433333555682
low,0.013116083333889205,0.02943328125345415,40,0.5246433333555682
customers,0.012858641098076589,0.03366962669937274,88,1.1315604166307398
utility,0.012784823531080323,0.03190801906661311,99,1.265697529576952
role,0.012711405509383834,0.007061144519365557,4,0.050845622037535336
commends,0.012711405509383834,0.007061144519365557,4,0.050845622037535336
responding,0.012651862242962298,0.01451266698713298,5,0.06325931121481149
approves,0.012582281778630628,0.027013119801334536,150,1.8873422667945943
public,0.012460297674374921,0.026401857282559484,103,1.2834106604606168
clears,0.01245374815478281,0.023737295573224373,74,0.9215773634539279
approximately,0.012299558653841584,0.02102747257755314,13,0.1598942624999406
show,0.012299558653841584,0.02102747257755314,13,0.1598942624999406
stabilize,0.012196896776458197,0.030984170168565913,35,0.42689138717603686
hedging,0.012196896776458197,0.030984170168565913,35,0.42689138717603686
lewis,0.012060316113083103,0.0313167824492347,88,1.0613078179513131
glass,0.012060316113083103,0.0313167824492347,88,1.0613078179513131
inquiry,0.011854921326799241,0.025459359380903858,133,1.576704536464299
buyback,0.011763853577693625,0.020546139849958008,82,0.9646359933708772
improve,0.011763853577693625,0.020546139849958008,41,0.4823179966854386
initiates,0.011748588215179226,0.027707822545564118,85,0.9986299982902342
majority,0.0116394331666493,0.015982372129715434,22,0.2560675296662846
group,0.011428602794461456,0.018283464881064703,46,0.525715728545227
approve,0.011402286063002623,0.02856666910951424,145,1.6533314791353804
defends,0.011310607923815377,0.017550349432917944,7,0.07917425546670764
